Entity,Year,Building (CAIT),Int'l aviation & shipping (CAIT),Electricity & Heat (CAIT),Energy (CAIT),Fugitive Emissions (CAIT),Industry (CAIT),Land-Use Change and Forestry (CAIT),Manufacturing & Construction (CAIT),Other Fuel Combustion (CAIT),Total excluding LUCF (CAIT),Total including LUCF (CAIT),Transport (CAIT),Buildings (per capita) (CAIT),Electricity & Heat (per capita) (CAIT),Fugitive Emissions (per capita) (CAIT),Industry (per capita) (CAIT),International aviation & shipping (per capita) (CAIT),Land-Use Change and Forestry (per capita) (CAIT),Manufacturing & Construction (per capita) (CAIT),Total excluding LUCF (per capita) (CAIT),Total including LUCF (per capita) (CAIT),Transport (per capita) (CAIT)
Afghanistan,2007,,,,2.25,0.0,0.01,0.0,,,2.26,2.26,,,,0.0,0.0003689900741670049,,0.0,,0.08339175676174311,0.08339175676174311,
Afghanistan,2008,,,,4.18,0.0,0.01,0.0,,,4.2,4.2,,,,0.0,0.00036072433446360296,,0.0,,0.1515042204747132,0.1515042204747132,
Afghanistan,2009,,,,6.75,0.0,0.01,0.0,,,6.76,6.76,,,,0.0,0.00035217467864060575,,0.0,,0.23807008276104946,0.23807008276104946,
Afghanistan,2010,,,,8.43,0.0,0.01,0.0,,,8.45,8.45,,,,0.0,0.0003426300280956623,,0.0,,0.2895223737408346,0.2895223737408346,
Afghanistan,2011,,,,12.21,0.0,0.01,0.0,,,12.23,12.23,,,,0.0,0.00033203838363714846,,0.0,,0.40608294318823257,0.40608294318823257,
Afghanistan,2012,,,,10.73,0.0,0.01,0.0,,,10.74,10.74,,,,0.0,0.00032091396296652866,,0.0,,0.3446615962260518,0.3446615962260518,
Afghanistan,2013,,,,9.98,0.0,0.02,0.0,,,10.0,10.0,,,,0.0,0.0006197706848466068,,0.0,,0.30988534242330334,0.30988534242330334,
Afghanistan,2014,,,,9.75,0.0,0.04,0.0,,,9.79,9.79,,,,0.0,0.001198645530550478,,0.0,,0.29336849360222944,0.29336849360222944,
Afghanistan,2015,,,,7.73,0.0,0.03,0.0,,,7.76,7.76,,,,0.0,0.0008717382460626489,,0.0,,0.22548962631487185,0.22548962631487185,
Afghanistan,2016,,,,8.54,0.0,0.03,0.0,,,8.57,8.57,,,,0.0,0.0008478647938275442,,0.0,,0.2422067094367352,0.2422067094367352,
Albania,1990,0.3,0.0,0.7,5.6,0.0,0.37,0.08,2.1,1.8,6.07,6.15,0.7,0.09129640900791235,0.21302495435179547,0.0,0.11259890444309191,0.0,0.024345709068776627,0.6390748630553865,1.8472306755934267,1.8715763846622036,0.21302495435179547
Albania,1991,0.4,0.0,0.5,3.8,0.0,0.3,0.08,1.4,1.0,4.1,4.18,0.5,0.12195121951219513,0.1524390243902439,0.0,0.09146341463414634,0.0,0.024390243902439022,0.42682926829268286,1.25,1.274390243902439,0.1524390243902439
Albania,1992,0.3,0.0,0.4,2.2,0.0,0.1,0.08,0.8,0.3,2.2,2.28,0.4,0.09242144177449169,0.12322858903265557,0.0,0.030807147258163893,0.0,0.024645717806531114,0.24645717806531114,0.6777572396796058,0.7024029574861368,0.12322858903265557
Albania,1993,0.2,0.0,0.5,1.9,0.0,0.1,0.08,0.5,0.2,2.1,2.18,0.5,0.06259780907668232,0.15649452269170577,0.0,0.03129890453834116,0.0,0.025039123630672927,0.15649452269170577,0.6572769953051644,0.6823161189358373,0.15649452269170577
Albania,1994,0.2,0.0,0.6,2.15,0.05,0.05,0.08,0.5,0.2,2.11,2.19,0.6,0.06355258976803305,0.19065776930409914,0.01588814744200826,0.01588814744200826,0.0,0.02542103590721322,0.1588814744200826,0.6704798220527486,0.6959008579599618,0.19065776930409914
Albania,1995,0.2,0.0,0.4,1.8,0.0,0.1,0.08,0.5,0.1,1.9,1.98,0.6,0.06424670735624799,0.12849341471249598,0.0,0.032123353678123995,0.0,0.025698682942499197,0.16061676839061997,0.6103437198843559,0.6360424028268551,0.19274012206874397
Albania,1996,0.3,0.0,0.3,1.8,0.0,0.1,0.08,0.5,0.1,2.0,2.08,0.6,0.0968054211035818,0.0968054211035818,0.0,0.032268473701193935,0.0,0.02581477896095515,0.16134236850596967,0.6453694740238787,0.6711842529848339,0.1936108422071636
Albania,1997,0.3,0.0,0.3,1.3,0.0,0.05,0.08,0.2,0.0,1.45,1.53,0.5,0.0967741935483871,0.0967741935483871,0.0,0.01612903225806452,0.0,0.025806451612903226,0.06451612903225808,0.467741935483871,0.49354838709677423,0.16129032258064516
Albania,1998,0.2,0.0,0.3,1.7,0.0,0.04,0.08,0.4,0.1,1.84,1.92,0.7,0.06428801028608165,0.09643201542912247,0.0,0.01285760205721633,0.0,0.02571520411443266,0.1285760205721633,0.5914496946319512,0.6171648987463838,0.22500803600128574
Albania,1999,0.2,0.1,0.3,2.9,0.0,0.05,0.08,0.5,0.5,2.95,3.03,1.4,0.06404098623118797,0.09606147934678194,0.0,0.01601024655779699,0.03202049311559398,0.025616394492475186,0.1601024655779699,0.9446045469100225,0.9702209414024975,0.4482869036183157
Albania,2000,0.2,0.1,0.4,3.1,0.0,0.09,0.08,0.5,0.5,3.19,3.27,1.5,0.06391818472355386,0.12783636944710772,0.0,0.028763183125599234,0.03195909236177693,0.02556727388942154,0.15979546180888463,1.0194950463406838,1.0450623202301055,0.47938638542665385
Albania,2001,0.2,0.1,0.4,3.1,0.0,0.0,0.86,0.5,0.5,3.2,4.06,1.5,0.06389776357827476,0.12779552715654952,0.0,0.0,0.03194888178913738,0.2747603833865815,0.1597444089456869,1.0223642172523961,1.2971246006389774,0.47923322683706066
Albania,2002,0.6,0.1,0.4,3.7,0.0,0.0,0.85,0.4,0.5,3.8,4.65,1.8,0.19193857965451055,0.12795905310300704,0.0,0.0,0.03198976327575176,0.27191298784388995,0.12795905310300704,1.2156110044785668,1.487523992322457,0.5758157389635317
Albania,2003,0.4,0.1,0.4,3.8,0.0,0.29,0.85,0.5,0.6,4.09,4.94,1.9,0.12828736369467608,0.12828736369467608,0.0,0.09300833867864015,0.03207184092366902,0.27261064785118666,0.1603592046183451,1.3117382937780628,1.5843489416292496,0.6093649775497113
Albania,2004,0.4,0.1,0.3,4.0,0.0,0.29,0.85,0.5,0.5,4.29,5.14,2.3,0.12882447665056362,0.0966183574879227,0.0,0.09339774557165861,0.032206119162640906,0.27375201288244766,0.1610305958132045,1.3816425120772946,1.6553945249597422,0.7407407407407407
Albania,2005,0.4,0.2,0.3,3.9,0.0,0.25,0.85,0.4,0.4,4.05,4.9,2.4,0.12957563977972142,0.09718172983479106,0.0,0.08098477486232589,0.06478781988986071,0.275348234531908,0.12957563977972142,1.3119533527696792,1.5873015873015872,0.7774538386783285
Albania,2006,0.4,0.1,0.2,3.8,0.0,0.26,-0.25,0.7,0.6,4.06,3.81,1.9,0.1305909239307868,0.0652954619653934,0.0,0.08488410055501143,0.0326477309826967,-0.08161932745674176,0.2285341168788769,1.325497877897486,1.2438785504407444,0.6203068886712373
Albania,2007,0.2,0.1,0.3,3.7,0.0,0.44,-0.2,0.6,0.5,4.24,4.04,2.1,0.06591957811470006,0.09887936717205009,0.0,0.14502307185234015,0.03295978905735003,-0.06591957811470006,0.19775873434410018,1.3974950560316413,1.3315754779169413,0.6921555702043507
Albania,2008,0.4,0.1,0.3,3.8,0.0,0.46,-0.25,0.5,0.3,4.16,3.91,2.3,0.13320013320013321,0.09990009990009989,0.0,0.15318015318015318,0.033300033300033303,-0.08325008325008325,0.1665001665001665,1.3852813852813854,1.3020313020313021,0.7659007659007658
Albania,2009,0.3,0.1,0.1,3.7,0.0,0.55,-0.25,0.8,0.2,4.35,4.1,2.3,0.10090817356205851,0.03363605785401951,0.0,0.1849983181971073,0.03363605785401951,-0.08409014463504878,0.2690884628321561,1.4631685166498485,1.3790783720147997,0.7736293306424487
Albania,2010,0.3,0.1,0.1,3.9,0.0,0.65,-0.25,1.0,0.3,4.55,4.3,2.2,0.10176390773405698,0.033921302578018994,0.0,0.22048846675712347,0.033921302578018994,-0.08480325644504749,0.33921302578018997,1.5434192672998643,1.4586160108548167,0.746268656716418
Albania,2011,0.3,0.1,0.1,4.1,0.0,0.9,-0.34,1.1,0.3,5.0,4.65,2.3,0.10242403550699897,0.03414134516899966,0.0,0.30727210652099696,0.03414134516899966,-0.11608057357459885,0.3755547968589963,1.707067258449983,1.5875725503584843,0.785250938886992
Albania,2012,0.2,0.1,0.1,3.5,0.0,1.1,-0.4,0.6,0.3,4.6,4.2,2.3,0.06863417982155114,0.03431708991077557,0.0,0.37748798901853126,0.03431708991077557,-0.13726835964310227,0.20590253946465337,1.5785861358956759,1.4413177762525737,0.7892930679478379
Albania,2013,0.3,0.2,0.0,3.7,0.0,1.15,-0.4,0.6,0.3,4.75,4.35,2.5,0.10330578512396693,0.0,0.0,0.39600550964187325,0.06887052341597798,-0.13774104683195595,0.20661157024793386,1.6356749311294765,1.4979338842975205,0.8608815426997245
Albania,2014,0.3,0.1,0.1,4.1,0.0,1.1,-0.4,0.9,0.3,5.2,4.8,2.5,0.10359116022099447,0.034530386740331494,0.0,0.3798342541436464,0.034530386740331494,-0.13812154696132597,0.31077348066298344,1.7955801104972375,1.6574585635359116,0.8632596685082873
Albania,2015,0.3,0.1,0.1,3.8,0.0,1.1,-0.39,0.7,0.3,4.9,4.51,2.4,0.10377032168799723,0.034590107229332416,0.0,0.3804911795226566,0.034590107229332416,-0.13490141819439638,0.24213075060532688,1.694915254237288,1.5600138360428917,0.8301625735039778
Albania,2016,0.3,0.1,0.1,3.6,0.0,1.1,-0.4,0.6,0.3,4.8,4.4,2.3,0.10395010395010394,0.03465003465003465,0.0,0.3811503811503812,0.03465003465003465,-0.1386001386001386,0.20790020790020788,1.663201663201663,1.5246015246015248,0.7969507969507968
Algeria,1990,6.6,2.5,23.1,64.93,13.73,2.99,0.88,5.7,0.0,67.92,68.8,15.8,0.25622112659652935,0.8967739430878529,0.5330175860864164,0.11607593462479134,0.09705345704413991,0.03416281687953725,0.221281882060639,2.6367483209751934,2.67091113785473,0.6133778485189643
Algeria,1991,7.5,2.2,24.1,63.95,9.25,2.97,0.88,6.2,0.0,66.91,67.79,16.9,0.2840909090909091,0.9128787878787878,0.3503787878787879,0.1125,0.08333333333333334,0.03333333333333333,0.23484848484848486,2.5344696969696967,2.567803030303031,0.6401515151515151
Algeria,1992,7.8,2.2,24.0,63.11,8.21,3.0,0.88,6.3,0.0,66.2,67.08,16.8,0.28858961077401213,0.8879680331508066,0.3037590646736718,0.11099600414385083,0.08139706970549061,0.03255882788219624,0.23309160870208673,2.449311824774308,2.4818706526565046,0.6215776232055646
Algeria,1993,8.2,2.0,25.2,70.39,13.79,2.99,0.88,6.2,0.0,73.47,74.35,17.0,0.29671443045303225,0.9118541033434651,0.49898682877406286,0.10819221305543494,0.07236937328122739,0.031842524243740046,0.2243450571718049,2.658488927485888,2.690331451729628,0.6151396728904328
Algeria,1994,8.2,2.1,24.9,68.71,14.11,2.82,0.88,6.0,0.0,71.53,72.41,15.5,0.29063585454029917,0.8825405826894449,0.5001063301906854,0.09995037924434677,0.07443113347983271,0.031190189267739418,0.21266038137095059,2.535266179910683,2.566456369178422,0.5493726518749557
Algeria,1995,8.1,2.2,25.8,69.85,14.55,3.17,0.88,6.3,0.0,73.02,73.9,15.1,0.2816607552680993,0.89714166492802,0.5059461715001043,0.11023019681479936,0.07650045204812574,0.030600180819250294,0.2190694763196328,2.539119549342791,2.569719730162042,0.5250712845121358
Algeria,1996,8.3,2.0,25.7,68.41,13.51,3.01,0.88,5.9,0.0,71.42,72.3,15.0,0.28360554910134633,0.8781521219162167,0.46162782751315523,0.10284972322831955,0.06833868653044488,0.030069022073395752,0.2015991252648124,2.4403744960021867,2.470443518075583,0.5125401489783367
Algeria,1997,8.0,1.9,27.8,69.67,13.57,3.27,0.88,5.3,0.0,72.84,73.72,15.0,0.2689708502841005,0.9346737047372492,0.4562418047944054,0.10994183505362606,0.06388057694247386,0.02958679353125105,0.17819318831321654,2.4489795918367347,2.478566385367986,0.5043203442826883
Algeria,1998,8.6,1.8,27.8,71.17,13.57,3.45,0.88,5.7,0.0,74.51,75.39,15.5,0.28483423310038747,0.9207432186268341,0.4494419236246812,0.11426489583678337,0.05961646739310436,0.029145828503295466,0.18878548007816384,2.4677905474778923,2.496936375981188,0.5133640247739542
Algeria,1999,9.1,1.7,29.3,74.18,13.18,3.44,0.88,6.1,0.0,77.52,78.4,16.5,0.2971622636580348,0.9567971785912549,0.4303954543970218,0.11233386670149886,0.055513829474577926,0.028736570551546225,0.19919668223230905,2.5314306240407536,2.5601671945923,0.5388106978414916
Algeria,2000,9.3,2.0,29.1,74.69,13.29,3.79,0.88,6.2,0.0,78.58,79.46,16.8,0.29959409831840733,0.9374395979640487,0.42812963082275624,0.1220926486695445,0.0644288383480446,0.02834868887313962,0.1997293988789382,2.531409058694672,2.559757747567811,0.5412022421235746
Algeria,2001,9.5,2.0,30.2,70.99,7.99,3.77,0.51,6.3,0.0,74.75,75.27,17.0,0.30204756454279535,0.9601933104413074,0.25403789902073,0.11986519140277248,0.06358896095637796,0.01621518504387638,0.2003052270125906,2.376637415744627,2.393170545593285,0.5405061681292127
Algeria,2002,9.9,2.2,32.2,76.31,8.21,4.06,0.51,6.6,0.0,80.36,80.88,19.4,0.3107832365405745,1.0108303249097472,0.25773034060587036,0.12745251922775072,0.06906294145346101,0.016010045518756868,0.20718882436038297,2.522680897818239,2.5390048657981477,0.6090095746350651
Algeria,2003,10.7,1.9,32.4,79.72,7.82,4.03,0.51,7.0,0.0,83.86,84.37,21.8,0.33163897842796924,1.0042152243987106,0.24237540292586168,0.12490701710885196,0.058889164393751546,0.01580709149516489,0.21696007934540046,2.5991817505578974,2.6149888420530623,0.6756756756756757
Algeria,2004,11.5,2.1,31.8,80.02,6.62,4.9,0.51,8.1,0.0,84.92,85.43,22.0,0.3517680166401566,0.9727150373179982,0.2024960234919858,0.14988376361189282,0.06423589869081121,0.015600146824911293,0.24776703780741463,2.597577388963661,2.613177535788572,0.6729475100942126
Algeria,2005,12.5,2.4,32.6,83.35,5.85,5.66,0.51,8.2,0.0,89.02,89.53,24.2,0.3770739064856712,0.9834087481146306,0.1764705882352941,0.17073906485671192,0.07239819004524888,0.015384615384615385,0.24736048265460026,2.6853695324283557,2.7007541478129715,0.7300150829562594
Algeria,2006,12.2,2.3,34.2,87.16,6.46,6.54,-6.75,8.7,0.0,93.79,87.05,25.6,0.3626527154365209,1.0166166285187719,0.1920275853868791,0.19440563597990548,0.06836895454950803,-0.20064801878659969,0.25861300199161735,2.7879670639992864,2.5876163015368148,0.7609761897684374
Algeria,2007,13.6,2.2,33.9,93.44,8.64,7.0,-6.75,9.7,0.0,100.54,93.8,27.6,0.3980448971229549,0.9921854420932479,0.2528755817016419,0.2048760499897562,0.06438961571106624,-0.19755904820440776,0.2838996692715193,2.942605437995727,2.745339069862733,0.8077969971024673
Algeria,2008,13.6,2.3,35.4,97.44,9.14,7.58,-6.75,10.1,0.0,104.82,98.07,29.2,0.3915810083210964,1.0192623304828539,0.2631654717687369,0.2182488266966111,0.06622325876018542,-0.19435086810054417,0.2908064841208143,3.0180530361924505,2.823702168091906,0.840747459042354
Algeria,2009,13.5,2.3,36.7,104.89,10.39,8.22,-6.75,9.8,4.0,113.02,106.27,30.5,0.38206826286296486,1.0386596479311712,0.29405105564045964,0.23263712005433862,0.06509311145072734,-0.19103413143148243,0.2773532574857078,3.198618893983132,3.00758476255165,0.8631912605422539
Algeria,2010,13.2,2.4,36.3,104.75,9.25,8.25,-6.75,10.7,3.6,113.0,106.25,31.7,0.3669010756872446,1.0089779581399227,0.2571087083414404,0.2293131723045279,0.06670928648858994,-0.1876198682491592,0.29741223559496344,3.1408955721711096,2.95327570392195,0.8811184923701253
Algeria,2011,14.6,2.2,39.2,109.86,7.06,8.19,-0.44,10.8,4.0,118.04,117.6,34.2,0.3982433648836638,1.0692561577698374,0.1925752161697717,0.22339816153405526,0.06000927416055209,-0.012001854832110418,0.29459098224271024,3.2197703281416223,3.2077684733095113,0.9328714437685826
Algeria,2012,16.8,2.4,43.3,118.56,6.46,7.7,-0.44,10.1,3.5,126.35,125.91,38.4,0.44939011341750484,1.1582495185105928,0.17280119837363578,0.2059704686496897,0.06419858763107211,-0.011769741065696554,0.2701690562807618,3.3797881446608176,3.3680184035951206,1.0271774020971538
Algeria,2013,18.0,2.6,42.9,122.58,6.78,7.3,-0.44,10.0,4.7,129.78,129.34,40.2,0.47194546407970633,1.1248033560566333,0.17776612480335607,0.1914001048767698,0.06816990036706869,-0.011536444677503933,0.26219192448872575,3.4027267960146825,3.391190351337179,1.0540115364446776
Algeria,2014,18.7,2.1,47.7,130.38,7.28,8.36,-0.44,10.2,2.9,138.84,138.4,43.6,0.48042338916863636,1.2254650087349708,0.18703113760147982,0.21477751515774327,0.053951289692734564,-0.011304079745144384,0.2620491213647107,3.5669509813996507,3.5556469016545065,1.120131538382489
Algeria,2015,20.4,2.3,49.6,137.68,7.28,9.16,-0.44,10.8,3.1,146.83,146.39,46.5,0.5134917438582359,1.248489730165123,0.18324607329842932,0.23056786145791383,0.05789367700362464,-0.011075312122432542,0.27184857027788967,3.6958819975835686,3.684806685461135,1.1704591220298026
Algeria,2016,20.7,2.2,47.8,135.08,7.28,9.16,-0.44,10.9,3.3,144.03,143.59,45.1,0.5104682991788119,1.1787625459298168,0.17952701536336957,0.2258883874627013,0.05425266947794136,-0.010850533895588271,0.2687973169588913,3.551823629503588,3.540973095608,1.1121797242977978
Andorra,1990,,,,0.41,,0.0,-0.02,,,0.41,0.39,,,,,0.0,,-0.36363636363636365,,7.454545454545454,7.090909090909092,
Andorra,1991,,,,0.41,,0.0,-0.02,,,0.41,0.39,,,,,0.0,,-0.3508771929824562,,7.19298245614035,6.842105263157895,
Andorra,1992,,,,0.41,,0.0,-0.02,,,0.41,0.39,,,,,0.0,,-0.3389830508474576,,6.9491525423728815,6.610169491525424,
Andorra,1993,,,,0.41,,0.0,-0.02,,,0.41,0.39,,,,,0.0,,-0.3278688524590164,,6.721311475409836,6.39344262295082,
Andorra,1994,,,,0.41,,0.0,-0.02,,,0.41,0.39,,,,,0.0,,-0.3174603174603175,,6.507936507936508,6.190476190476191,
Andorra,1995,,,,0.43,,0.0,-0.02,,,0.43,0.41,,,,,0.0,,-0.3125,,6.71875,6.40625,
Andorra,1996,,,,0.45,,0.0,-0.02,,,0.45,0.43,,,,,0.0,,-0.3125,,7.03125,6.71875,
Andorra,1997,,,,0.47,,0.0,-0.02,,,0.47,0.45,,,,,0.0,,-0.3125,,7.34375,7.03125,
Andorra,1998,,,,0.49,,0.0,-0.02,,,0.49,0.47,,,,,0.0,,-0.3125,,7.65625,7.34375,
Andorra,1999,,,,0.51,,0.0,-0.02,,,0.51,0.49,,,,,0.0,,-0.3125,,7.968750000000001,7.65625,
Andorra,2000,,,,0.52,,0.0,-0.02,,,0.52,0.5,,,,,0.0,,-0.3076923076923077,,8.0,7.692307692307692,
Andorra,2001,,,,0.52,,0.0,-0.03,,,0.52,0.5,,,,,0.0,,-0.44776119402985076,,7.761194029850747,7.462686567164179,
Andorra,2002,,,,0.53,,0.0,-0.03,,,0.53,0.5,,,,,0.0,,-0.42857142857142855,,7.571428571428572,7.142857142857142,
Andorra,2003,,,,0.53,,0.0,-0.03,,,0.53,0.51,,,,,0.0,,-0.410958904109589,,7.26027397260274,6.986301369863013,
Andorra,2004,,,,0.56,,0.0,-0.03,,,0.56,0.53,,,,,0.0,,-0.39473684210526316,,7.36842105263158,6.973684210526317,
Andorra,2005,,,,0.58,,0.0,-0.03,,,0.58,0.55,,,,,0.0,,-0.37974683544303794,,7.341772151898733,6.962025316455697,
Andorra,2006,,,,0.55,,0.0,-0.04,,,0.55,0.51,,,,,0.0,,-0.4938271604938272,,6.790123456790124,6.296296296296297,
Andorra,2007,,,,0.54,,0.0,-0.04,,,0.54,0.5,,,,,0.0,,-0.4819277108433735,,6.506024096385542,6.024096385542168,
Andorra,2008,,,,0.54,,0.0,-0.04,,,0.54,0.5,,,,,0.0,,-0.47619047619047616,,6.428571428571429,5.9523809523809526,
Andorra,2009,,,,0.52,,0.0,-0.04,,,0.52,0.48,,,,,0.0,,-0.47619047619047616,,6.190476190476191,5.7142857142857135,
Andorra,2010,,,,0.52,,0.0,-0.04,,,0.52,0.48,,,,,0.0,,-0.47619047619047616,,6.190476190476191,5.7142857142857135,
Andorra,2011,,,,0.49,,0.0,-0.02,,,0.49,0.47,,,,,0.0,,-0.23809523809523808,,5.833333333333333,5.595238095238095,
Andorra,2012,,,,0.49,,0.0,-0.02,,,0.49,0.47,,,,,0.0,,-0.24390243902439027,,5.975609756097561,5.7317073170731705,
Andorra,2013,,,,0.48,,0.0,-0.02,,,0.48,0.45,,,,,0.0,,-0.2469135802469136,,5.925925925925926,5.555555555555556,
Andorra,2014,,,,0.46,,0.0,-0.02,,,0.46,0.44,,,,,0.0,,-0.25316455696202533,,5.822784810126582,5.569620253164557,
Andorra,2015,,,,0.0,,0.0,-0.02,,,0.0,-0.02,,,,,0.0,,-0.25641025641025644,,0.0,-0.25641025641025644,
Andorra,2016,,,,0.0,,0.0,-0.02,,,0.0,-0.02,,,,,0.0,,-0.2597402597402597,,0.0,-0.2597402597402597,
Angola,1990,0.6,1.0,0.5,6.2,2.3,0.11,86.78,1.8,0.0,6.3,93.08,1.0,0.05064145847400405,0.04220121539500337,0.19412559081701553,0.009284267386900743,0.08440243079000674,7.324442943956786,0.15192437542201215,0.5317353139770425,7.856178257933829,0.08440243079000674
Angola,1991,0.7,0.9,0.5,6.51,2.41,0.11,86.78,1.6,0.0,6.51,93.29,1.3,0.05714752224671401,0.04081965874765287,0.19675075516368684,0.00898032492448363,0.07347538574577517,7.0846599722426316,0.1306229079924892,0.5314719568944404,7.616131929137072,0.10613111274389747
Angola,1992,0.6,0.8,0.3,6.15,2.35,0.12,86.78,1.7,0.0,6.38,93.15,1.2,0.04740459824602986,0.02370229912301493,0.18566800979695033,0.009480919649205971,0.0632061309947065,6.856285059650786,0.13431302836375128,0.5040688946827843,7.359563877696138,0.09480919649205972
Angola,1993,0.5,0.9,0.3,6.77,2.57,0.1,86.78,2.2,0.0,6.87,93.65,1.2,0.03824091778202677,0.022944550669216062,0.1965583173996176,0.007648183556405354,0.06883365200764818,6.637093690248566,0.16826003824091781,0.5254302103250478,7.162523900573614,0.09177820267686425
Angola,1994,0.6,1.3,0.3,6.41,2.41,0.1,86.78,1.6,0.0,6.71,93.48,1.5,0.044431279620853074,0.022215639810426537,0.17846563981042657,0.00740521327014218,0.09626777251184834,6.426244075829383,0.11848341232227488,0.49688981042654035,6.922393364928911,0.1110781990521327
Angola,1995,0.6,1.2,0.3,10.58,6.78,0.08,86.78,1.8,0.0,10.76,97.54,1.1,0.04302617425600574,0.02151308712800287,0.4861957690928649,0.005736823234134099,0.08605234851201148,6.223019003226963,0.1290785227680172,0.7716027249910361,6.994621728218,0.07888131946934386
Angola,1996,0.9,1.0,0.4,11.31,7.11,0.11,82.22,1.9,0.0,11.42,93.65,1.0,0.06249566002360947,0.02777584889938199,0.49371571418651483,0.007638358447330046,0.06943962224845497,5.709325741267967,0.13193528227206444,0.7930004860773557,6.503020623567808,0.06943962224845497
Angola,1997,0.9,1.1,0.6,11.58,7.28,0.12,79.4,1.7,0.0,11.7,91.1,1.1,0.060516406670252834,0.04034427111350188,0.4895104895104896,0.008068854222700376,0.07396449704142012,5.338891877353416,0.114308768154922,0.7867132867132867,6.125605164066702,0.07396449704142012
Angola,1998,1.0,0.7,0.6,11.19,7.49,0.14,84.02,1.3,0.0,11.34,95.36,0.8,0.06510416666666667,0.0390625,0.4876302083333334,0.009114583333333334,0.045572916666666664,5.470052083333333,0.08463541666666667,0.73828125,6.208333333333333,0.052083333333333336
Angola,1999,1.2,1.2,0.8,12.52,7.82,0.08,79.46,1.5,0.0,12.61,92.07,1.2,0.0756286632633768,0.05041910884225122,0.4928467889330056,0.005041910884225122,0.0756286632633768,5.007877985756601,0.09453582907922103,0.7947312031259847,5.802609188882586,0.0756286632633768
