Entity,Year,barley_attainable,cassava_attainable,cotton_attainable,groundnut_attainable,maize_attainable,millet_attainable,oilpalm_attainable,potato_attainable,rapeseed_attainable,rice_attainable,rye_attainable,sorghum_attainable,soybean_attainable,sugarbeet_attainable,sugarcane_attainable,sunflower_attainable,wheat_attainable,wheat_yield_gap,barley_yield_gap,rye_yield_gap,millet_yield_gap,sorghum_yield_gap,maize_yield_gap,cassava_yield_gap,soybeans_yield_gap,rapeseed_yield_gap,sugarbeet_yield_gap,sugarcane_yield_gap,potato_yield_gap,oilpalm_yield_gap,groundnut_yield_gap,rice_yield_gap,sunflower_yield_gap,cotton_yield_gap
Afghanistan,1988,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.83,2.1799999999999997,,1.12,,8.700000000000001,,,,63.010000000000005,0.0,30.240000000000002,,,7.449999999999999,0.3900000000000001,2.36
Afghanistan,1989,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.88,2.2,,1.12,,8.700000000000001,,,,61.34,0.0,30.550000000000004,,,7.4799999999999995,0.41000000000000014,2.71
Afghanistan,1990,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.95,2.24,,1.1099999999999999,,8.64,,,,73.01,0.0,28.970000000000002,,,7.459999999999999,0.44000000000000017,2.32
Afghanistan,1991,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.98,2.23,,1.15,,8.72,,,,73.01,0.0,29.17,,,7.42,0.4600000000000002,2.23
Afghanistan,1992,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.9699999999999998,2.49,,1.18,,8.9,,,,73.01,0.0,29.14,,,7.6499999999999995,0.52,2.23
Afghanistan,1993,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.98,2.29,,1.17,,8.72,,,,73.01,0.0,29.12,,,7.6499999999999995,0.53,2.23
Afghanistan,1994,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.9699999999999998,2.37,,1.17,,8.73,,,,73.01,0.0,29.220000000000002,,,7.459999999999999,0.53,2.23
Afghanistan,1995,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.91,2.4,,1.1600000000000001,,8.74,,,,73.01,0.0,29.19,,,7.069999999999999,0.6500000000000001,2.23
Afghanistan,1996,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.88,2.29,,1.1600000000000001,,8.76,,,,73.01,0.0,29.17,,,7.42,0.53,2.23
Afghanistan,1997,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.7199999999999998,2.04,,1.1600000000000001,,8.9,,,,73.01,0.0,29.020000000000003,,,7.139999999999999,0.6300000000000001,2.23
Afghanistan,1998,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.7,2.09,,1.1600000000000001,,8.75,,,,73.01,0.0,29.020000000000003,,,6.859999999999999,0.53,2.23
Afghanistan,1999,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.77,2.09,,1.15,,8.9,,,,73.01,0.0,29.020000000000003,,,7.359999999999999,0.52,2.23
Afghanistan,2000,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.2800000000000002,2.69,,1.17,,9.200000000000001,,,,73.01,0.0,29.020000000000003,,,7.359999999999999,0.51,2.2199999999999998
Afghanistan,2001,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,3.1,2.29,,1.17,,8.4,,,,73.01,0.0,29.020000000000003,,,7.359999999999999,0.5,2.2199999999999998
Afghanistan,2002,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.46,1.83,,1.18,,7.42,,,,73.01,0.0,29.380000000000003,,,6.489999999999999,0.48,2.2199999999999998
Afghanistan,2003,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.5,2.4,,1.12,,9.56,,,,73.01,0.0,29.14,,,6.369999999999999,0.4700000000000002,2.26
Afghanistan,2004,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.73,2.37,,1.0899999999999999,,8.8,,,,73.01,0.0,28.160000000000004,,,6.989999999999999,0.44000000000000017,2.26
Afghanistan,2005,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.1799999999999997,1.8900000000000001,,1.17,,9.190000000000001,,,,75.01,0.0,30.810000000000002,,,6.33,0.40000000000000013,2.26
Afghanistan,2006,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.62,1.75,,0.98,,7.78,,,,75.01,0.0,30.810000000000002,,,5.9799999999999995,0.42000000000000015,2.36
Afghanistan,2007,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.1799999999999997,1.72,,0.31000000000000005,,7.7700000000000005,,,,72.83000000000001,0.0,30.770000000000003,,,6.109999999999999,0.3800000000000001,2.36
Afghanistan,2008,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.77,1.8800000000000001,,0.1499999999999999,,7.7700000000000005,,,,75.14,0.0,31.810000000000002,,,6.139999999999999,0.4500000000000002,2.36
Afghanistan,2009,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.0300000000000002,1.47,,0.08000000000000007,,8.26,,,,63.010000000000005,0.0,31.810000000000002,,,6.129999999999999,0.44000000000000017,2.0599999999999996
Afghanistan,2010,3.29,0.0,3.36,4.71,10.4,1.98,0.0,45.81,1.56,9.36,3.49,4.45,2.71,78.01,0.0,1.85,4.0,2.0700000000000003,1.23,,0.0,,8.76,,,,65.02000000000001,0.0,33.81,,,6.129999999999999,0.41000000000000014,2.36
