Entity,Year,democracy_satisf_claassen,democracy_satisf_high_claassen,democracy_satisf_low_claassen
Argentina,2009,-.00089579885,.52953744,-.50657952
Argentina,2010,.19745731,.71267611,-.2844153
Argentina,2011,.52429312,1.120093,.014721584
Argentina,2012,.6281265,1.2414945,.10154441
Argentina,2013,.49623868,1.0486802,.036790948
Argentina,2014,.43775937,1.0151938,-.072003067
Argentina,2015,.40320843,.98839009,-.10746635
Argentina,2016,.17556399,.7951321,-.38829988
Argentina,2017,-.050303597,.40455264,-.50753683
Argentina,2018,-.36286941,.12822464,-.90464514
Argentina,2019,-.47619596,.096759014,-1.0836934
Argentina,2020,-.47609252,.28465658,-1.3161008
Armenia,1992,-2.0941958,-1.247775,-3.2991772
Armenia,1993,-2.2285717,-1.3845639,-3.4387529
Armenia,1994,-2.1033051,-1.2813412,-3.2350035
Armenia,1995,-1.8582394,-1.0699966,-2.9325242
Armenia,1996,-1.7892772,-1.0490065,-2.8176837
Armenia,1997,-1.8611666,-1.104962,-2.9059618
Armenia,1998,-1.7610408,-.90602762,-2.8888781
Armenia,1999,-1.655427,-.75378156,-2.8071012
Armenia,2000,-1.5485847,-.58178788,-2.7821414
Armenia,2001,-1.4408259,-.40855786,-2.7505066
Armenia,2002,-1.330649,-.21806607,-2.6164479
Armenia,2003,-1.2222648,-.093729056,-2.5045507
Armenia,2004,-1.1193547,-.023020469,-2.3863218
Armenia,2005,-1.0157949,.069804691,-2.2610118
Armenia,2006,-.90767694,.18215553,-2.1501667
Armenia,2007,-.80305558,.24651994,-2.0330706
Armenia,2008,-.69863921,.34966552,-1.8772829
Armenia,2009,-.80924249,.28727549,-2.07967
Armenia,2010,-.91898322,.28454256,-2.2967973
Armenia,2011,-1.0292425,.23230995,-2.4638314
Armenia,2012,-1.1370565,.14082181,-2.5894616
Armenia,2013,-1.2432338,.040591281,-2.7407925
Armenia,2014,-1.3519289,-.08678972,-2.8255434
Armenia,2015,-1.4627923,-.19356014,-2.9667315
Armenia,2016,-1.5748971,-.32962254,-3.0611103
Armenia,2017,-1.6824584,-.46742991,-3.2098572
Armenia,2018,-1.7893289,-.63229978,-3.3100369
Armenia,2019,-1.7862686,-.51397038,-3.3760455
Armenia,2020,-1.7846086,-.44860899,-3.4992354
Australia,1996,1.2290339,2.2986734,.3465912
Australia,1997,1.2622515,2.4959223,.30742803
Australia,1998,1.2896783,2.5275946,.25730351
Australia,1999,1.3199294,2.6110713,.2378903
Australia,2000,1.3457035,2.6280823,.26208019
Australia,2001,1.3737817,2.6574993,.30675685
Australia,2002,1.4039987,2.6640046,.39069304
Australia,2003,1.4305637,2.6159601,.47238481
Australia,2004,1.4573212,2.5795894,.57118285
Australia,2005,1.4988053,2.6617403,.59940767
Australia,2006,1.5407583,2.7373998,.62698537
Australia,2007,1.5792676,2.7032745,.72133076
Australia,2008,1.4841202,2.6701071,.55885315
Australia,2009,1.3899252,2.529948,.44915858
Australia,2010,1.292931,2.4759824,.33997488
Australia,2011,1.2016896,2.298671,.25266507
Australia,2012,1.1028771,2.1751087,.2152687
Australia,2013,1.004504,1.9422733,.2272415
Australia,2014,.92741984,1.8749614,.13772327
Australia,2015,.85476661,1.7974373,.084578767
Australia,2016,.78155625,1.6676779,.062029593
Australia,2017,.70851982,1.4875324,.030592296
Australia,2018,.68514264,1.4870342,-.0030589181
Australia,2019,.68860143,1.6325312,-.17430522
Australia,2020,.69078958,1.7791169,-.27463207
Austria,1995,.49204081,1.3118037,-.23927177
Austria,1996,.48501417,1.3126547,-.26504508
Austria,1997,.47066149,1.2519124,-.18457171
Austria,1998,.60149384,1.3816953,-.046331413
Austria,1999,.82769501,1.611936,.18732643
Austria,2000,.64565682,1.3985025,-.011467666
Austria,2001,.64118659,1.388599,.012148194
Austria,2002,.78698516,1.5453856,.16423225
Austria,2003,.82489681,1.6452281,.20010054
Austria,2004,.91648805,1.7450093,.29727003
Austria,2005,1.0097313,1.8820659,.35642579
Austria,2006,1.1624829,2.0475464,.51362419
Austria,2007,1.2304817,2.1572201,.54936618
Austria,2008,1.0475398,1.9241214,.375871
Austria,2009,1.1539296,2.0023232,.50088656
Austria,2010,1.2425371,2.1946876,.56985968
Austria,2011,1.1440067,2.0550711,.47694832
Austria,2012,1.0208802,1.8509017,.37410745
Austria,2013,.95410514,1.7366254,.32203203
Austria,2014,.78014129,1.5254377,.15789619
Austria,2015,.81015569,1.5932486,.1603824
