country,elo98,confederation,gdp06,popu06,gdp_source,popu_source
Burkina Faso,1398,CAF,1203.680784,13822257,World Bank,World Bank
Burundi,1440,CAF,646.4171774,8042579,World Bank,World Bank
Cambodia,1012,AFC,1959.803481,13555054,World Bank,World Bank
Cameroon,1597,CAF,2337.817378,18611937,World Bank,World Bank
Canada,1503,CONCACAF,37822.24824,32570505,World Bank,World Bank
Cape Verde,1243,CAF,4531.103468,481940,World Bank,World Bank
Cayman Islands,1154,CONCACAF,43800,50026,CIA (2004),World Bank
Central African Republic,1189,CAF,683.8758493,4032102,World Bank,World Bank
Chad,1229,CAF,1610.122791,10356822,World Bank,World Bank
Chile,1757,CONMEBOL,15428.7598,16504530,World Bank,World Bank
China,1631,AFC,5724.916728,1311020000,World Bank,World Bank
Colombia,1741,CONMEBOL,8955.705347,43841370,World Bank,World Bank
Comoros,891,CAF,1327.671705,616526,World Bank,World Bank
Congo,1484,CAF,4714.789654,3646653,World Bank,World Bank
Cook Islands,875,OFC,9100,21750,CIA (2005),CIA (2007)
Costa Rica,1594,CONCACAF,10436.2941,4392493,World Bank,World Bank
Croatia,1829,UEFA,17019.72059,4440000,World Bank,World Bank
Cuba,1414,CONCACAF,14445.29081,11301100,World Bank,World Bank
Curacao,1197,CONCACAF,15000,141239,CIA (2004),World Bank
Cyprus,1437,UEFA,26337.08206,1048314,World Bank,World Bank
Czechia,1853,UEFA,24415.8833,10238905,World Bank,World Bank
Democratic Republic of Congo,1503,CAF,565.4314219,55590838,World Bank,World Bank
Denmark,1828,UEFA,37189.65988,5437272,World Bank,World Bank
Djibouti,891,CAF,2124.121978,787544,World Bank,World Bank
Dominica,1208,CONCACAF,8417.551969,70690,World Bank,World Bank
Dominican Republic,1130,CONCACAF,8789.926672,9479269,World Bank,World Bank
East Timor,,AFC,1107.117658,999053,World Bank,World Bank
Eastern Samoa,674,OFC,5800,58652,CIA (2005),World Bank
Ecuador,1735,CONMEBOL,8077.650114,14023503,World Bank,World Bank
Egypt,1704,CAF,8254.752851,72990754,World Bank,World Bank
El Salvador,1471,CONCACAF,6559.957034,6096692,World Bank,World Bank
England,1938,UEFA,39931.21369,51075643.5,"World Bank's estimate for UK, adjusted per http://en.wikipedia.org/w/index.php?title=Countries_of_the_United_Kingdom_by_GVA_per_capita&oldid=153382497",http://en.wikipedia.org/wiki/Demography_of_England#Population
Equatorial Guinea,1097,CAF,30740.7216,621517,World Bank,World Bank
Eritrea,1205,CAF,1166.905842,5035036,World Bank,World Bank
Estonia,1200,UEFA,19305.69858,1346810,World Bank,World Bank
Ethiopia,1288,CAF,730.0478897,78290649,World Bank,World Bank
Faroe Islands,1151,UEFA,30500,47511,CIA (2008),CIA (2007)
Fiji,1394,OFC,6655.634722,828060,World Bank,World Bank
Finland,1503,UEFA,34523.70751,5266268,World Bank,World Bank
France,1963,UEFA,32288.80403,63617975,World Bank,World Bank
Gabon,1442,CAF,15306.27739,1412907,World Bank,World Bank
Gambia,1315,CAF,1396.003921,1482324,World Bank,World Bank
Georgia,1621,UEFA,4694.944531,4398000,World Bank,World Bank
Germany,2023,UEFA,34667.64864,82376451,World Bank,World Bank
Ghana,1472,CAF,2398.177001,21947779,World Bank,World Bank
Greece,1681,UEFA,28012.85245,11127947,World Bank,World Bank
Grenada,1064,CONCACAF,10447.57933,103260,World Bank,World Bank
Guam,631,AFC,15000,158429,CIA (2005),World Bank
Guatemala,1540,CONCACAF,6109.652627,12995374,World Bank,World Bank
Guinea,1491,CAF,1112.41633,9798963,World Bank,World Bank
Guinea-Bissau,1204,CAF,1193.060526,1452659,World Bank,World Bank
Guyana,1073,CONCACAF,4438.833776,765367,World Bank,World Bank
Haiti,1389,CONCACAF,1446.09824,9388642,World Bank,World Bank
Honduras,1487,CONCACAF,3788.342396,7037428,World Bank,World Bank
Hong Kong,1219,AFC,39949.67056,6857100,World Bank,World Bank
Hungary,1603,UEFA,18583.62346,10071370,World Bank,World Bank
Iceland,1442,UEFA,36880.29818,303782,World Bank,World Bank
India,1156,AFC,3224.70242,1143289350,World Bank,World Bank
Indonesia,1329,AFC,6213.507267,227709821,World Bank,World Bank
Iran,1627,AFC,12667.40675,70976584,World Bank,World Bank
Iraq,1625,AFC,10343.51392,28064095,World Bank,World Bank
Ireland,1661,UEFA,43714.38383,4273591,World Bank,World Bank
Israel,1640,UEFA,25379.73644,7053700,World Bank,World Bank
Italy,1929,UEFA,31988.08666,58143979,World Bank,World Bank
Ivory Coast,1610,CAF,2594.339964,17662417,World Bank,World Bank
Jamaica,1626,CONCACAF,8217.370381,2653042,World Bank,World Bank
Japan,1710,AFC,31790.65016,127854000,World Bank,World Bank
Jordan,1411,AFC,9009.814903,5536000,World Bank,World Bank
Kazakhstan,1455,UEFA,15700.48413,15308084,World Bank,World Bank
Kenya,1447,CAF,2128.048097,36757498,World Bank,World Bank
Kuwait,1599,AFC,86397.36265,2417445,World Bank,World Bank
Kyrgyzstan,1230,AFC,2218.608574,5218400,World Bank,World Bank
Laos,1021,AFC,2868.883234,5895930,World Bank,World Bank
Latvia,1344,UEFA,15469.29417,2218357,World Bank,World Bank
Lebanon,1363,AFC,11169.14057,4079823,World Bank,World Bank
Lesotho,1173,CAF,1727.392427,1940413,World Bank,World Bank
Liberia,1355,CAF,457.8227679,3384791,World Bank,World Bank
Libya,1446,CAF,25008.83906,5686475,World Bank,World Bank
Liechtenstein,1047,UEFA,89700,35028,CIA (2007),World Bank
Lithuania,1505,UEFA,16756.73765,3269909,World Bank,World Bank
Luxembourg,1166,UEFA,77104.75771,472637,World Bank,World Bank
Macao,1038,AFC,65853.64122,479808,World Bank,World Bank
Macedonia,1505,UEFA,8562.084377,2093801,World Bank,World Bank
Madagascar,1466,CAF,1304.374638,18826126,World Bank,World Bank
Malawi,1345,CAF,554.0030573,13307535,World Bank,World Bank
Malaysia,1262,AFC,17053.02174,26327098,World Bank,World Bank
Maldives,854,AFC,8238.051995,302825,World Bank,World Bank
Mali,1450,CAF,1431.40943,12325545,World Bank,World Bank
Malta,1188,UEFA,22291.33607,405308,World Bank,World Bank
Mauritania,1197,CAF,2538.231119,3237713,World Bank,World Bank
Mauritius,1162,CAF,12107.04624,1233996,World Bank,World Bank
Mexico,1826,CONCACAF,13079.64782,112116694,World Bank,World Bank
Moldova,1323,UEFA,3189.989932,3585209,World Bank,World Bank
Mongolia,795,AFC,4995.374005,2559496,World Bank,World Bank
Montenegro,,UEFA,10497.85125,616854,World Bank,World Bank
Montserrat,760,CONCACAF,8500,9538,CIA,CIA (2007)
Morocco,1723,CAF,5254.047452,30395097,World Bank,World Bank
