Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
Argentina,2024,Total,Male,Comodoro Rivadavia-Rada Tilly,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,130915.535902933,4
Argentina,2024,Total,Male,Concordia,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,80603.8215390093,4
Argentina,2024,Total,Male,Córdoba,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,769656.967447193,4
Argentina,2024,Total,Male,Corrientes,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,187289.830182135,4
Argentina,2024,Total,Male,Formosa,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,126241.36202813,4
Argentina,2024,Total,Male,La Plata,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,455843.013367115,4
Argentina,2024,Total,Male,La Rioja,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,116419.447181018,4
Argentina,2024,Total,Male,San Luis - El Chorrillo,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,122564.445021882,4
Argentina,2024,Total,Male,Mar del Plata-Batán,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,320746.321771355,4
Argentina,2024,Total,Male,Mendoza,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,513378.152501805,4
Argentina,2024,Total,Male,Neuquén-Plottier,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,158916.437225517,4
Argentina,2024,Total,Male,Paraná,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,137049.001192571,4
Argentina,2024,Total,Male,Posadas,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,186930.145254876,4
Argentina,2024,Total,Male,Rawson-Trelew-Playa Unión,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,73896.0373089877,4
Argentina,2024,Total,Male,Resistencia,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,203922.125411737,4
Argentina,2024,Total,Male,Río Cuarto,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,87842.9196266936,4
Argentina,2024,Total,Male,Rio Gallegos,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,66784.3621229236,4
Argentina,2024,Total,Male,Rosario,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,654332.590385844,4
Argentina,2024,Total,Male,Salta,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,320940.743030142,4
Argentina,2024,Total,Male,San Juan,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,268627.824542201,4
Argentina,2024,Total,Male,San Nicolás-Villa Constitución,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,97284.1824084143,4
Argentina,2024,Total,Male,San Salvador de Jujuy-Palpalá,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,173205.089868095,4
Argentina,2024,Total,Male,Santa Fé,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,264855.740648841,4
Argentina,2024,Total,Male,Santa Rosa-Toay,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,63992.7167542556,4
Argentina,2024,Total,Male,Santiago del Estero-La Banda,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,200630.8295859,4
Argentina,2024,Total,Male,Tucumán-Tafí Viejo,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,445497.797187307,4
