Media Type,Type,Subtype,Template,Extensions
application/cose-key,application,cose-key,http://www.iana.org/assignments/media-types/application/cose-key,
application/cose-key-set,application,cose-key-set,http://www.iana.org/assignments/media-types/application/cose-key-set,
application/cose-x509,application,cose-x509,http://www.iana.org/assignments/media-types/application/cose-x509,
application/csrattrs,application,csrattrs,http://www.iana.org/assignments/media-types/application/csrattrs,
application/csta+xml,application,csta+xml,http://www.iana.org/assignments/media-types/application/csta+xml,
application/CSTAdata+xml,application,CSTAdata+xml,http://www.iana.org/assignments/media-types/application/CSTAdata+xml,
application/csvm+json,application,csvm+json,http://www.iana.org/assignments/media-types/application/csvm+json,
application/cwl,application,cwl,http://www.iana.org/assignments/media-types/application/cwl,
application/cwl+json,application,cwl+json,http://www.iana.org/assignments/media-types/application/cwl+json,
application/cwl+yaml,application,cwl+yaml,http://www.iana.org/assignments/media-types/application/cwl+yaml,
application/cwt,application,cwt,http://www.iana.org/assignments/media-types/application/cwt,
application/cybercash,application,cybercash,http://www.iana.org/assignments/media-types/application/cybercash,
application/dash+xml,application,dash+xml,http://www.iana.org/assignments/media-types/application/dash+xml,
application/dash-patch+xml,application,dash-patch+xml,http://www.iana.org/assignments/media-types/application/dash-patch+xml,
application/dashdelta,application,dashdelta,http://www.iana.org/assignments/media-types/application/dashdelta,
application/davmount+xml,application,davmount+xml,http://www.iana.org/assignments/media-types/application/davmount+xml,davmount
application/dca-rft,application,dca-rft,http://www.iana.org/assignments/media-types/application/dca-rft,
application/DCD,application,DCD,http://www.iana.org/assignments/media-types/application/DCD,
application/dec-dx,application,dec-dx,http://www.iana.org/assignments/media-types/application/dec-dx,
application/dialog-info+xml,application,dialog-info+xml,http://www.iana.org/assignments/media-types/application/dialog-info+xml,
application/dicom,application,dicom,http://www.iana.org/assignments/media-types/application/dicom,
application/dicom+json,application,dicom+json,http://www.iana.org/assignments/media-types/application/dicom+json,
application/dicom+xml,application,dicom+xml,http://www.iana.org/assignments/media-types/application/dicom+xml,
application/did,application,did,http://www.iana.org/assignments/media-types/application/did,
application/DII,application,DII,http://www.iana.org/assignments/media-types/application/DII,
application/DIT,application,DIT,http://www.iana.org/assignments/media-types/application/DIT,
application/dns,application,dns,http://www.iana.org/assignments/media-types/application/dns,
application/dns+json,application,dns+json,http://www.iana.org/assignments/media-types/application/dns+json,
application/dns-message,application,dns-message,http://www.iana.org/assignments/media-types/application/dns-message,
application/dots+cbor,application,dots+cbor,http://www.iana.org/assignments/media-types/application/dots+cbor,
application/dpop+jwt,application,dpop+jwt,http://www.iana.org/assignments/media-types/application/dpop+jwt,
application/dskpp+xml,application,dskpp+xml,http://www.iana.org/assignments/media-types/application/dskpp+xml,
application/dssc+der,application,dssc+der,http://www.iana.org/assignments/media-types/application/dssc+der,dssc
application/dssc+xml,application,dssc+xml,http://www.iana.org/assignments/media-types/application/dssc+xml,xdssc
application/dvcs,application,dvcs,http://www.iana.org/assignments/media-types/application/dvcs,
application/eat+cwt,application,eat+cwt,http://www.iana.org/assignments/media-types/application/eat+cwt,
application/eat+jwt,application,eat+jwt,http://www.iana.org/assignments/media-types/application/eat+jwt,
application/eat-bun+cbor,application,eat-bun+cbor,http://www.iana.org/assignments/media-types/application/eat-bun+cbor,
application/eat-bun+json,application,eat-bun+json,http://www.iana.org/assignments/media-types/application/eat-bun+json,
