Candidate,Gender,Race 1,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,PCCC,Our Revolution,Sunrise,Sanders,AOC,Party Committee
Nan Whaley,Female,White,No,No,Ohio,5/3/22,Governor,N/A,"331,014",65%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lacy Watson,Male,Black,No,No,West Virginia,5/10/22,Representative,1,"32,686",100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Angela J. Dwyer,Female,Black,No,No,West Virginia,5/10/22,Representative,2,"16,653",43%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Barry Lee Wendell,Male,White,No,No,West Virginia,5/10/22,Representative,2,"22,139",57%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Patty Pansing Brooks,Female,White,No,No,Nebraska,5/10/22,Representative,1,"31,808",87%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Jazari Kual Zakaria,Male,Black,No,No,Nebraska,5/10/22,Representative,1,"4,944",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alisha Shelton,Female,Black,No,No,Nebraska,5/10/22,Representative,2,"14,585",31%,Lost,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tony Vargas,Male,Latino (Peruvian),No,No,Nebraska,5/10/22,Representative,2,"31,930",69%,Won,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
David J. Else,Male,White,No,No,Nebraska,5/10/22,Representative,3,"8,701",52%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Daniel M. Wik,Male,White,No,No,Nebraska,5/10/22,Representative,3,"7,968",48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Carol Blood,Female,White,No,No,Nebraska,5/10/22,Governor,N/A,"88,859",89%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Roy A. Harris,Male,White,No,No,Nebraska,5/10/22,Governor,N/A,"11,267",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joshua Wesley Blanton Sr.,Male,White,No,No,Kentucky,5/17/22,Senator,N/A,"30,980",11%,Lost,N/A,N/A,N/A,N/A,N/A,No,No,N/A,No,N/A,N/A,N/A
Charles Booker,Male,Black,No,No,Kentucky,5/17/22,Senator,N/A,"214,245",73%,Won,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,N/A,N/A,N/A
