name,team,games,category,desc.,year,source
J. Jenkins,WAS,4,PEDs,,2013,http://www.nfl.com/news/story/0ap1000000221583/article/redskins-jarvis-jenkins-suspended-4-games-for-peds
T. Jervey,SF,4,PEDs,,1999,http://www.sfgate.com/sports/article/49ers-Notebook-Jervey-Suspended-for-Steroid-Use-2901850.php
L. Johnson,PHI,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000367649/article/eagles-lane-johnson-suspended-four-games-for-peds
D. Jordan,MIA,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000363402/article/dion-jordan-suspended-four-games-for-ped-violation
J. Kennedy,NYG,4,PEDs,,2011,http://espn.go.com/new-york/nfl/story/_/id/7089792/new-york-giants-dt-jimmy-kennedy-suspended-nfl
V. Kirk,STL,4,PEDs,,1989,http://articles.latimes.com/1989-08-30/sports/sp-1284_1_nfl-suspends
J. Knott,PHI,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000339592/article/jake-knott-suspended-for-violating-substance-abuse-policy
L. Lawton,OAK,4,PEDs,,2009,http://sports.espn.go.com/nfl/news/story?id=4771154
M. Lehr,ATL,4,PEDs,,2006,http://sports.espn.go.com/nfl/news/story?id=2629991
T. Lewis,WAS,4,PEDs,,2011,http://www.washingtonpost.com/blogs/football-insider/post/report-redskins-trent-williams-and-fred-davis-to-be-suspended-for-four-games/2011/12/04/gIQAZJ6tSO_blog.html
D. Love,MIN,4,PEDs,,2013,http://www.cbssports.com/nfl/eye-on-football/22974075/vikings-ol-demarcus-love-suspended-for-ped-violation
D. Lutui,TEN,4,PEDs,,2013,http://www.nfl.com/news/story/0ap1000000150698/article/deuce-lutui-suspended-by-nfl-for-drug-violation
A. Madise,DEN,4,PEDs,,2005,http://sports.espn.go.com/nfl/news/story?id=1974527
R. Mathis,IND,4,PEDs,,2014,http://www.nfl.com/news/story/0ap2000000350988/article/colts-robert-mathis-suspended-four-games-for-ped
G. McRath,TEN,4,PEDs,,2010,http://sports.espn.go.com/nfl/news/story?id=5285379
