ACT Symbol,Company Name,Security Name,Exchange,CQS Symbol,ETF,Round Lot Size,Test Issue,NASDAQ Symbol
ACP$A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,N,ACPpA,N,100.0,N,ACP-A
ACR,ACRES Commercial Realty Corp. Common Stock,ACRES Commercial Realty Corp. Common Stock,N,ACR,N,100.0,N,ACR
ACR$C,ACRES Commercial Realty Corp. 8.625% Fixed,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock ,N,ACRpC,N,100.0,N,ACR-C
ACR$D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,N,ACRpD,N,100.0,N,ACR-D
ACRE,Ares Commercial Real Estate Corporation Common Stock,Ares Commercial Real Estate Corporation Common Stock,N,ACRE,N,100.0,N,ACRE
ACSG,American Century Small Cap Growth Insights ETF,American Century Small Cap Growth Insights ETF,Z,ACSG,Y,100.0,N,ACSG
ACSI,American Customer Satisfaction ETF,American Customer Satisfaction ETF,Z,ACSI,Y,100.0,N,ACSI
ACSV,American Century Small Cap Value Insights ETF,American Century Small Cap Value Insights ETF,Z,ACSV,Y,100.0,N,ACSV
ACTS,FIS Tactical Equity ETF,FIS Tactical Equity ETF,P,ACTS,Y,100.0,N,ACTS
ACU,Acme United Corporation. Common Stock,Acme United Corporation. Common Stock,A,ACU,N,100.0,N,ACU
ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,N,ACV,N,100.0,N,ACV
ACVA,ACV Auctions Inc. Class A Common Stock,ACV Auctions Inc. Class A Common Stock,N,ACVA,N,100.0,N,ACVA
ACVF,American Conservative Values ETF,American Conservative Values ETF,P,ACVF,Y,100.0,N,ACVF
ACVT,Advent Convertible Bond ETF,Advent Convertible Bond ETF,P,ACVT,Y,100.0,N,ACVT
ACVU,Hartford Alpha Capture Value ETF,Hartford Alpha Capture Value ETF,Z,ACVU,Y,100.0,N,ACVU
ACWV,iShares MSCI Global Min Vol Factor ETF,iShares MSCI Global Min Vol Factor ETF,Z,ACWV,Y,100.0,N,ACWV
ACYN,FT Vest Laddered Autocallable Barrier & Income ETF,FT Vest Laddered Autocallable Barrier & Income ETF,P,ACYN,Y,100.0,N,ACYN
ACYS,FT Vest Laddered Autocallable Barrier & Resilient Income ETF,FT Vest Laddered Autocallable Barrier & Resilient Income ETF,P,ACYS,Y,100.0,N,ACYS
AD,"Array Digital Infrastructure, Inc. Common Shares","Array Digital Infrastructure, Inc. Common Shares",N,AD,N,100.0,N,AD
ADBU,Direxion Daily ADBE Bull 2X ETF,Direxion Daily ADBE Bull 2X ETF,P,ADBU,Y,100.0,N,ADBU
ADC,Agree Realty Corporation Common Stock,Agree Realty Corporation Common Stock,N,ADC,N,100.0,N,ADC
ADC$A,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock","Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",N,ADCpA,N,100.0,N,ADC-A
ADCT,ADC Therapeutics SA Common Shares,ADC Therapeutics SA Common Shares,N,ADCT,N,100.0,N,ADCT
ADDS,Hedgeye Index Adds ETF,Hedgeye Index Adds ETF,P,ADDS,Y,100.0,N,ADDS
ADFI,Anfield Dynamic Fixed Income ETF,Anfield Dynamic Fixed Income ETF,Z,ADFI,Y,100.0,N,ADFI
ADIV,Guinness Atkinson Asia Pacific Dividend Builder ETF,Guinness Atkinson Asia Pacific Dividend Builder ETF,P,ADIV,Y,100.0,N,ADIV
ADM,Archer,Archer-Daniels-Midland Company Common Stock,N,ADM,N,100.0,N,ADM
ADME,Aptus Drawdown Managed Equity ETF,Aptus Drawdown Managed Equity ETF,Z,ADME,Y,100.0,N,ADME
ADNT,Adient plc Ordinary Shares ,Adient plc Ordinary Shares ,N,ADNT,N,100.0,N,ADNT
ADPV,Adaptiv Select ETF,Adaptiv Select ETF,P,ADPV,Y,100.0,N,ADPV
ADT,ADT Inc. Common Stock,ADT Inc. Common Stock,N,ADT,N,100.0,N,ADT
ADVE,Matthews Asia Dividend Active ETF,Matthews Asia Dividend Active ETF,P,ADVE,Y,100.0,N,ADVE
ADX,Adams Diversified Equity Fund Inc.,Adams Diversified Equity Fund Inc.,N,ADX,N,100.0,N,ADX
AEE,Ameren Corporation Common Stock,Ameren Corporation Common Stock,N,AEE,N,100.0,N,AEE
AEF,abrdn Emerging Markets ex,"abrdn Emerging Markets ex-China Fund, Inc. Common Stock",A,AEF,N,100.0,N,AEF
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,N,AEFC,N,100.0,N,AEFC
AEG,Aegon Ltd. New York Registry Shares,Aegon Ltd. New York Registry Shares,N,AEG,N,100.0,N,AEG
AEM,Agnico Eagle Mines Limited Common Stock,Agnico Eagle Mines Limited Common Stock,N,AEM,N,100.0,N,AEM
AEMS,Anfield Enhanced Market ETF,Anfield Enhanced Market ETF,Z,AEMS,Y,100.0,N,AEMS
AEO,"American Eagle Outfitters, Inc. Common Stock","American Eagle Outfitters, Inc. Common Stock",N,AEO,N,100.0,N,AEO
AEON,"AEON Biopharma, Inc. Class A Common Stock","AEON Biopharma, Inc. Class A Common Stock",A,AEON,N,100.0,N,AEON
AER,AerCap Holdings N.V. Ordinary Shares,AerCap Holdings N.V. Ordinary Shares,N,AER,N,100.0,N,AER
AERO,"Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)","Grupo Aeromexico, S.A.B. de C.V. American Depositary Shares (each representing ten (10) Common Shares)",N,AERO,N,100.0,N,AERO
AES,The AES Corporation Common Stock,The AES Corporation Common Stock,N,AES,N,100.0,N,AES
AESI,Atlas Energy Solutions Inc. Common Stock,Atlas Energy Solutions Inc. Common Stock,N,AESI,N,100.0,N,AESI
AESR,Anfield U.S. Equity Sector Rotation ETF,Anfield U.S. Equity Sector Rotation ETF,Z,AESR,Y,100.0,N,AESR
AETH,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF,P,AETH,Y,100.0,N,AETH
AEXA,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,American Exceptionalism Acquisition Corp. A Class A Ordinary Shares,N,AEXA,N,100.0,N,AEXA
AFB,AllianceBernstein National Municipal Income Fund Inc,AllianceBernstein National Municipal Income Fund Inc,N,AFB,N,100.0,N,AFB
AFG,"American Financial Group, Inc. Common Stock","American Financial Group, Inc. Common Stock",N,AFG,N,100.0,N,AFG
AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059","American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",N,AFGB,N,100.0,N,AFGB
AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059","American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",N,AFGC,N,100.0,N,AFGC
AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060","American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",N,AFGD,N,100.0,N,AFGD
AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060","American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",N,AFGE,N,100.0,N,AFGE
AFGR,First Trust Multi,First Trust Multi-Manager Large Growth ETF,P,AFGR,Y,100.0,N,AFGR
AFIF,Anfield Universal Fixed Income ETF,Anfield Universal Fixed Income ETF,Z,AFIF,Y,100.0,N,AFIF
AFIX,Allspring Broad Market Core Bond ETF,Allspring Broad Market Core Bond ETF,P,AFIX,Y,100.0,N,AFIX
AFK,VanEck Africa Index ETF,VanEck Africa Index ETF,P,AFK,Y,100.0,N,AFK
AFL,AFLAC Incorporated Common Stock,AFLAC Incorporated Common Stock,N,AFL,N,100.0,N,AFL
AFLG,First Trust Active Factor Large Cap ETF,First Trust Active Factor Large Cap ETF,P,AFLG,Y,100.0,N,AFLG
AFMC,First Trust Active Factor Mid Cap ETF,First Trust Active Factor Mid Cap ETF,P,AFMC,Y,100.0,N,AFMC
