timestamp,respondents,category,link,average,mean,median,1_votes,1_pct
2017-07-17 17:00:03.758360,17,Females Aged 18-29,http://www.imdb.com/title/tt6322922/ratings-female_age_2,7.7,8.4,10,2,11.8
2017-07-17 17:00:03.985068,197,Aged 30-44,http://www.imdb.com/title/tt6322922/ratings-age_3,4.3,4.9,2,93,47.2
2017-07-17 17:00:04.220987,165,Males Aged 30-44,http://www.imdb.com/title/tt6322922/ratings-male_age_3,4.1,4.4,1,86,52.1
2017-07-17 17:00:04.462887,25,Females Aged 30-44,http://www.imdb.com/title/tt6322922/ratings-female_age_3,7.2,8.2,10,5,20.0
2017-07-17 17:00:04.646149,105,Aged 45+,http://www.imdb.com/title/tt6322922/ratings-age_4,4.2,4.9,1,54,51.4
2017-07-17 17:00:04.879717,79,Males Aged 45+,http://www.imdb.com/title/tt6322922/ratings-male_age_4,3.6,4.3,1,47,59.5
2017-07-17 17:00:05.061590,24,Females Aged 45+,http://www.imdb.com/title/tt6322922/ratings-female_age_4,6.3,6.4,8,7,29.2
2017-07-17 17:00:05.297523,2,IMDb staff,http://www.imdb.com/title/tt6322922/ratings-imdb_staff,8.0,8.0,8,0,0.0
2017-07-17 17:00:05.486278,24,Top 1000 voters,http://www.imdb.com/title/tt6322922/ratings-top_1000,5.6,5.6,5,5,20.8
2017-07-17 17:00:05.730588,219,US users,http://www.imdb.com/title/tt6322922/ratings-usa,4.2,4.9,1,111,50.7
2017-07-17 17:00:05.947114,144,Non-US users,http://www.imdb.com/title/tt6322922/ratings-international,5.9,6.5,9,40,27.8
2017-07-17 17:00:06.142993,679,IMDb users,http://www.imdb.com/title/tt6322922/ratings,4.9,5.3,5,305,44.9
2017-07-17 18:00:02.761381,403,Males,http://www.imdb.com/title/tt6322922/ratings-male,4.6,4.9,2,198,49.1
2017-07-17 18:00:02.952763,78,Females,http://www.imdb.com/title/tt6322922/ratings-female,6.9,7.7,10,16,20.5
2017-07-17 18:00:03.151123,4,Aged under 18,http://www.imdb.com/title/tt6322922/ratings-age_1,4.2,4.2,3,2,50.0
2017-07-17 18:00:03.386448,4,Males under 18,http://www.imdb.com/title/tt6322922/ratings-male_age_1,4.2,4.2,3,2,50.0
2017-07-17 18:00:03.615780,130,Aged 18-29,http://www.imdb.com/title/tt6322922/ratings-age_2,6.3,6.5,9,41,31.5
2017-07-17 18:00:03.808867,108,Males Aged 18-29,http://www.imdb.com/title/tt6322922/ratings-male_age_2,6.2,6.2,9,37,34.3
2017-07-17 18:00:04.082598,17,Females Aged 18-29,http://www.imdb.com/title/tt6322922/ratings-female_age_2,7.7,8.4,10,2,11.8
2017-07-17 18:00:04.311686,197,Aged 30-44,http://www.imdb.com/title/tt6322922/ratings-age_3,4.3,4.9,2,93,47.2
2017-07-17 18:00:04.543333,165,Males Aged 30-44,http://www.imdb.com/title/tt6322922/ratings-male_age_3,4.1,4.4,1,86,52.1
2017-07-17 18:00:04.774641,25,Females Aged 30-44,http://www.imdb.com/title/tt6322922/ratings-female_age_3,7.2,8.2,10,5,20.0
2017-07-17 18:00:05.050037,105,Aged 45+,http://www.imdb.com/title/tt6322922/ratings-age_4,4.2,4.9,1,54,51.4
2017-07-17 18:00:05.289548,79,Males Aged 45+,http://www.imdb.com/title/tt6322922/ratings-male_age_4,3.6,4.3,1,47,59.5
2017-07-17 18:00:05.474071,24,Females Aged 45+,http://www.imdb.com/title/tt6322922/ratings-female_age_4,6.3,6.4,8,7,29.2
2017-07-17 18:00:05.654651,2,IMDb staff,http://www.imdb.com/title/tt6322922/ratings-imdb_staff,8.0,8.0,8,0,0.0
2017-07-17 18:00:05.848178,24,Top 1000 voters,http://www.imdb.com/title/tt6322922/ratings-top_1000,5.6,5.6,5,5,20.8
2017-07-17 18:00:06.030328,219,US users,http://www.imdb.com/title/tt6322922/ratings-usa,4.2,4.9,1,111,50.7
2017-07-17 18:00:06.245340,144,Non-US users,http://www.imdb.com/title/tt6322922/ratings-international,5.9,6.5,9,40,27.8
2017-07-17 18:00:06.510891,680,IMDb users,http://www.imdb.com/title/tt6322922/ratings,4.9,5.3,5,306,45.0
2017-07-17 19:00:02.633552,403,Males,http://www.imdb.com/title/tt6322922/ratings-male,4.6,4.9,2,198,49.1
2017-07-17 19:00:02.835447,78,Females,http://www.imdb.com/title/tt6322922/ratings-female,6.9,7.7,10,16,20.5
2017-07-17 19:00:03.078711,4,Aged under 18,http://www.imdb.com/title/tt6322922/ratings-age_1,4.2,4.2,3,2,50.0
2017-07-17 19:00:03.330255,4,Males under 18,http://www.imdb.com/title/tt6322922/ratings-male_age_1,4.2,4.2,3,2,50.0
2017-07-17 19:00:03.547446,130,Aged 18-29,http://www.imdb.com/title/tt6322922/ratings-age_2,6.3,6.5,9,41,31.5
2017-07-17 19:00:03.811256,108,Males Aged 18-29,http://www.imdb.com/title/tt6322922/ratings-male_age_2,6.2,6.2,9,37,34.3
