storenum,OPENDATE,date_super,conversion,st,county,STREETADDR,STRCITY,STRSTATE,ZIPCODE,type_store,LAT,LON,MONTH,DAY,YEAR
67,7/1/73,3/1/95,1,5,113,600 HWY 71 NORTH,Mena,AR,71953,Supercenter,34.588479,-94.21567,7,1,1973
68,8/1/73,8/20/03,1,5,37,800 HWY 64 EAST,Wynne,AR,72396,Supercenter,35.229779,-90.83237,8,1,1973
69,12/1/73,3/1/93,1,29,99,650 SOUTH TRUMAN BLVD,Festus,MO,63028,Supercenter,38.187767,-90.4077,12,1,1973
71,11/1/73,3/1/94,1,5,121,1415 HWY 67 SOUTH,Pocahontas,AR,72455,Supercenter,36.304912,-91.0141,11,1,1973
76,11/1/73,3/1/93,1,5,15,1000 WEST TRIMBLE,Berryville,AR,72616,Supercenter,36.350821,-93.56324,11,1,1973
78,9/1/73,,,29,225,1331 SPUR DR/ BUS. RT US HWY66,Marshfield,MO,65706,Wal-Mart,37.330958,-92.90929,9,1,1973
80,6/1/73,,,29,19,401 N STADIUM BL/BISCAYNE MALL,Columbia,MO,65201,Wal-Mart,38.926838,-92.29003,6,1,1973
81,6/1/73,10/26/05,1,40,1,ROUTE 6 BOX 1895,Stilwell,OK,74960,Supercenter,35.815628,-94.65023,6,1,1973
86,12/1/73,3/1/94,1,29,77,2825 N KANSAS EXPRESSWAY,Springfield,MO,65803,Supercenter,37.257053,-93.29015,12,1,1973
73,10/1/74,3/1/99,1,40,37,1002 WEST TAFT,Sapulpa,OK,74066,Supercenter,35.996582,-96.1194,10,1,1974
100,10/1/74,3/1/92,1,5,7,406 SOUTH WALTON BLVD,Bentonville,AR,72712,Supercenter,36.362525,-94.23308,10,1,1974
72,1/1/74,3/1/94,1,20,37,2710 N BROADWAY,Pittsburg,KS,66762,Supercenter,37.408511,-94.70414,1,1,1974
70,7/1/74,3/1/97,1,5,35,798 WEST SERVICE ROAD,West Memphis,AR,72301,Supercenter,35.150009,-90.17636,7,1,1974
107,10/1/74,,,47,183,850 WAL-MART DRIVE,Martin,TN,38237,Wal-Mart,36.353928,-88.84191,10,1,1974
79,4/1/74,3/1/99,1,29,97,2623 WEST 7TH STREET,Joplin,MO,64801,Supercenter,37.09416,-94.50169,4,1,1974
106,8/1/74,10/20/04,1,21,75,1405 MIDDLE ROAD,Fulton,KY,42041,Supercenter,36.532059,-88.89132,8,1,1974
105,8/1/74,3/1/94,1,28,3,2301 HARPER ROAD,Corinth,MS,38834,Supercenter,34.928325,-88.52856,8,1,1974
82,4/1/74,3/1/98,1,29,157,1750 S. PERRYVILLE,Perryville,MO,63775,Supercenter,37.716811,-89.87601,4,1,1974
83,8/1/74,8/20/03,1,5,27,60 79-BYPASS NORTH,Magnolia,AR,71753,Supercenter,33.249608,-93.20427,8,1,1974
84,5/1/74,,,5,95,PINECREST PLAZA SHOPPING CTR,Brinkley,AR,72021,Wal-Mart,34.867846,-91.19271,5,1,1974
85,4/1/74,3/1/96,1,5,125,17309 I-30,Benton,AR,72015,Supercenter,34.564734,-92.59562,4,1,1974
104,7/1/74,,,47,53,15427 SO. FIRST STREET,Milan,TN,38358,Wal-Mart,35.916722,-88.76628,7,1,1974
87,7/1/74,3/1/99,1,22,119,1379 HOMER ROAD,Minden,LA,71055,Supercenter,32.631009,-93.28751,7,1,1974
88,2/1/74,3/1/94,1,29,229,2100 NORTH MAIN,Mt. Grove,MO,65711,Supercenter,37.176376,-92.27609,2,1,1974
89,2/1/74,4/13/05,1,29,29,94 CECIL STREET,Camdenton,MO,65020,Supercenter,38.032648,-92.78269,2,1,1974
90,4/1/74,3/1/95,1,40,41,2115 S MAIN ST,Grove,OK,74344,Supercenter,36.599689,-94.76673,4,1,1974
91,9/1/74,3/1/94,1,5,123,205 DEADRICK ROAD,Forrest City,AR,72335,Supercenter,35.010683,-90.78048,9,1,1974
92,4/1/74,,,29,109,3020 SOUTH ELLIOTT,Aurora,MO,65605,Wal-Mart,36.918018,-93.71063,4,1,1974
93,10/1/74,,,47,167,975 US HIGHWAY 51 NORTH,Covington,TN,38019,Wal-Mart,35.560622,-89.64201,10,1,1974
94,7/1/74,3/1/97,1,47,157,8445 HWY 51 NORTH,Millington,TN,38053,Supercenter,35.347965,-89.90668,7,1,1974
95,10/1/74,5/21/03,1,29,187,407 NO. STATE ST,Desloge,MO,63601,Supercenter,37.844197,-90.53,10,1,1974
