Year,School,Seed,Conference,Conf. W,Conf. L,Conf. %,Conf. place,Reg. W,Reg. L,Reg. %,How qual,1st game at home?,Tourney W,Tourney L,Tourney finish,Full W,Full L,Full %
1985,Western Ky.,4,Sun Belt,5,1,83.3,2nd,26,5,83.9,at-large,Y,3,1,NSF,29,6,82.9
1985,Western Mich.,8,Mid-American,14,4,77.8,2nd,19,9,67.9,auto,N,0,1,1st,19,10,65.5
1986,Arkansas,8,Southwest,13,3,81.3,T2nd,22,7,75.9,at-large,N,0,1,1st,22,8,73.3
1986,Auburn,3,Southeastern,6,3,66.7,T2nd,23,5,82.1,at-large,Y,1,1,RSF,24,6,80
1986,Drake,10,Missouri Valley,16,2,88.9,2nd,21,7,75,at-large,Y,1,1,2nd,22,8,73.3
1986,Georgia,1,Southeastern,9,0,100,1st,29,1,96.7,auto,Y,1,1,RSF,30,2,93.8
1986,Illinois,8,Big Ten,12,6,66.7,3rd,19,9,67.9,at-large,N,1,1,2nd,20,10,66.7
1986,Iowa,5,Big Ten,15,3,83.3,2nd,22,6,78.6,at-large,N,0,1,2nd,22,7,75.9
1986,James Madison,8,Colonial,11,1,91.7,T1st,26,3,89.7,at-large,N,2,1,RSF,28,4,87.5
1986,Kentucky,7,Southeastern,4,5,44.4,T6th,18,10,64.3,at-large,N,0,1,1st,18,11,62.1
1986,La Salle,10,Metro Atlantic,10,2,83.3,2nd,21,8,72.4,auto,N,0,1,1st,21,9,70
1986,Long Beach St.,3,Pacific Coast,14,0,100,1st,28,4,87.5,at-large,Y,1,1,RSF,29,5,85.3
1986,Louisiana Tech,2,Independent,-,-,-,-,25,4,86.2,at-large,Y,2,1,RF,27,5,84.4
1986,LSU,2,Southeastern,6,3,66.7,T2nd,25,5,83.3,at-large,Y,2,1,RF,27,6,81.8
1986,Maryland,6,Atlantic Coast,6,8,42.9,5th,17,12,58.6,auto,N,0,1,2nd,17,13,56.7
1986,Middle Tenn.,10,Ohio Valley,13,1,92.9,1st,19,9,67.9,auto,N,1,1,2nd,20,10,66.7
1986,Missouri,9,Big Eight,8,6,57.1,T4th,19,11,63.3,auto,Y,1,1,2nd,20,12,62.5
1986,Montana,8,Mountain West Athl.,13,1,92.9,1st,26,8,76.5,auto,Y,1,1,2nd,27,9,75
1986,NC State,6,Atlantic Coast,9,5,64.3,T3rd,18,10,64.3,at-large,N,0,1,2nd,18,11,62.1
1986,North Carolina,4,Atlantic Coast,10,4,71.4,2nd,22,8,73.3,at-large,Y,1,1,RSF,23,9,71.9
