UNLOCODE,Alternative UNLOCODE,Terminal Code,Terminal Facility Name,Terminal Company Name,Last Change,Valid From,Valid Until,Terminal Website,Terminal Address,Remarks,Coordinates
CAMTR,,TMTMAI,MAISONNEUVE TERMINAL (SECTION 68),TERMONT TERMINAL INC,2020-01-24,2015-02-19,,https://www.termont.com/,"450 Rue De Boucherville, Montréal, QC H1N 0C6, Canada",3 berths.,"45.573889, -73.511389"
CAMTR,,MGTRAC,RACINE TERMINAL (SECTION 62),MONTREAL GATEWAY TERMINALS,2020-01-24,2015-02-19,,https://www.mtrtml.com/maps/index.php,"305 Rue Curatteau, Montréal, QC H1L 6R6, Canada",3 berths.,"45.565833, -73.518611"
CAMTR,,VIAU,VIAU TERMINAL (SECTION 52),TERMONT TERMINAL INC,,2022-01-19,,https://www.termont.com/,"450 Rue De Boucherville, Montréal, QC H1N 0C6, Canada",2 berths.,"45.551944, -73.526667"
CAPRR,,FCTPRR,FAIRVIEW CONTAINER TERMINAL,DP WORLD,2020-01-24,2018-03-07,,https://www.rupertport.com/terminal_details/fairview-container-terminal/,"Scott Rd, Prince Rupert, BC V8J 4B1, Canada",,"54.286389, -130.360278"
CASJB,,DPWSJB,DP WORLD SAINT JOHN,DP WORLD SAINT JOHN,,2021-10-24,,https://www.dpworld.com/canada/supply-chain-solutions/ports-and-terminals,"10 King St W, Saint John, NB E2M 7Y5, Canada",Rodney Container Terminal,"45.265278, -66.067222"
CAVAN,,CTM,CENTENNIAL TERMINAL (CENTERM),DP WORLD VANCOUVER,2020-01-24,2016-08-12,,https://www.dpworld.com/canada/supply-chain-solutions/ports-and-terminals,"777 Centennial Road, Vancouver, BC V6A 1A3, Canada",,"49.288889, -123.095833"
CAVAN,,FSD,FRASER SURREY DOCKS,FRASER SURREY DOCKS LIMITED PARTNERSHIP,2020-01-24,2004-05-31,,https://www.dpworld.com/canada/supply-chain-solutions/ports-and-terminals,"11060 Elevator Rd, Surrey, BC V3V 2R7, Canada",,"49.185833, -122.913333"
CAVAN,CADEL,DLT,GCT DELTAPORT,GCT CANADA LIMITED PARTNERSHIP,2020-01-24,2006-08-28,,https://globalterminalscanada.com/contact/#Terminals,"2 Roberts Bank Way, Delta, BC V4M 4G5, Canada",,"49.020556, -123.151389"
CAVAN,,VTM,GCT VANTERM,GCT CANADA LIMITED PARTNERSHIP,2020-01-24,2006-08-28,,https://globalterminalscanada.com/contact/#Terminals,"1300 Stewart Street, Vancouver, BC V5L 4X5, Canada",,"49.288611, -123.073889"
CDBOA,,BOA,BOMA PORT,SOCIÉTÉ COMMERCIALE DES TRANSPORTS ET DES PORTS (SCTP),,2023-12-12,,https://sctp-sa-rdc.online/,"Quai Des Commerces, Boma, Congo-Kinshasa",,"-5.859444, 13.053889"
CDMAT,,MGT,MATADI GATEWAY TERMINAL (MGT),MGT/ICTSI DR CONGO SA,,2021-10-24,,https://www.mgt.cd/en,"Av/mienzi kiaku 2 cellule OEBK, Ville Haute, N1, Matadi, Congo-Kinshasa",,"-5.834167, 13.431667"
CDMAT,,SCTP,PORT OF MATADI SCTP,PORT OF MATADI SCTP,,2023-01-01,,https://sctp-sa-rdc.online/lesnavires/,"Société Commerciale des Transports et des ports (SCTP), Boulevard du 30 Juin, Matadi, Congo-Kinshasa","Matadi wharf (berths 1-4), Fuka-Fuka wharf (container cargo, berths 5-7), Ngkala-Ngkala wharf (berths 8-10).","-5.823333, 13.452222"
CGPNR,,CTPN,CONGO TERMINAL POINTE NOIRE,CONGO TERMINAL POINTE NOIRE / BOLLORE PORTS,,2016-05-13,,https://congo-terminal.net/,"Enceinte portuaire, Pointe-Noire, Republic of the Congo",,"-4.778056, 11.828056"
CIABJ,,CIT,COTE D'IVOIRE TERMINAL,COTE D'IVOIRE TERMINAL,,2023-09-07,,https://cotedivoireterminal.com,"Treichville PC6, Zone portuaire, 18 BP 1467, Abidjan 18, Ivory Coast",,"5.281111, -4.017222"
CIABJ,,SETV1,VRIDI TERMINAL ABIDJAN,SOCIETE EXPLOITATION TERMINAL DE VRIDI (SETV) / BOLLORE PORTS / APM TERMINALS,2020-01-24,2015-10-09,,https://www.abidjan-terminal.com/,"SETV, immeuble du port, Terminal à conteneurs de Vridi, 05 BP 3352, Abidjan 05, Ivory Coast",,"5.273611, -4.013333"
CISPY,,TCSP,SAN-PEDRO CONTAINER TERMINAL,PORT AUTONOME DE SAN-PEDRO (PASP),,2022-06-01,,https://www.sanpedro-portci.com/site/,"Boulevard De La Republique 1, San-Pédro, Ivory Coast",,"4.739722, -6.619167"
