title,site,country,year_release,box_office,director,number_of_subjects,subject,type_of_subject,race_known,subject_race,person_of_color,subject_sex,lead_actor_actress
Becoming Jane,http://www.imdb.com/title/tt0416508/,UK,2007,$18.7M,Julian Jarrold,1,Jane Austen,Author,Known,White,0,Female,Anne Hathaway
Before Night Falls,http://www.imdb.com/title/tt0247196/,US,2000,$4.22M,Julian Schnabel,1,Reinaldo Arenas,Activist,Known,Hispanic (Latin American),1,Male,Javier Bardem
Behind the Lines,http://www.imdb.com/title/tt0120001/,Canada/UK,1997,$19.3K,Gillies MacKinnon,1,Siegfried Loraine Sassoon,Military,Known,Multi racial,0,Male,James Wilby
Bernard and Doris,http://www.imdb.com/title/tt0470732/,US,2006,-,Bob Balaban,2,Bernard Lafferty,Other,Known,White,0,Male,Ralph Fiennes
Bernard and Doris,http://www.imdb.com/title/tt0470732/,US/UK,2006,-,Bob Balaban,2,Doris Duke,Other,Known,White,0,Female,Susan Sarandon
Best,http://www.imdb.com/title/tt0181311/,UK,2000,-,Mary McGuckian,1,George Best,Athlete,Known,White,0,Male,John Lynch
Beyond the Law,http://www.imdb.com/title/tt0103805/,US,1993,-,Larry Ferguson,1,Dan Black,Other,Unknown,,0,Male,Charlie Sheen
Beyond the Sea,http://www.imdb.com/title/tt0363473/,US/UK,2004,$6.14M,Kevin Spacey,1,Bobby Darin ,Musician,Known,White,0,Male,Kevin Spacey
Big Eyes,http://www.imdb.com/title/tt1126590/,US/Canada,2014,$14.5M,Tim Burton,1,Margaret Keane,Artist,Known,White,0,Female,Amy Adams
Billy the Kid,http://www.imdb.com/title/tt0033389/,US,1941,-,David Miller,1,Henry McCarty (Billy the Kid),Criminal,Known,White,0,Male,Robert Taylor
Bird,http://www.imdb.com/title/tt0094747/,US,1988,$2.18M,Clint Eastwood,1,"Charlie ""Bird"" Parker",Musician,Known,Multi racial,1,Male,Forest Whitaker
Birdman of Alcatraz,http://www.imdb.com/title/tt0055798/,US,1962,-,John Frankenheimer,1,Robert Franklin Stroud,Criminal,Unknown,,0,Male,Burt Lancaster
Blaze,http://www.imdb.com/title/tt0096943/,US,1989,$19.1M,Ron Shelton,1,Earl Long,Politician,Known,White,0,Male,Paul Newman
Bloodsport,http://www.imdb.com/title/tt0092675/,US,1988,$11.8M,Newt Arnold,1,Frank Dux,Athlete,Unknown,,0,Male,Jean-Claude Van Damme
Blossoms in the Dust,http://www.imdb.com/title/tt0033407/,US,1941,-,Mervyn LeRoy,1,Edna Gladney,Other,Unknown,,0,Female,Greer Garson
Blow,http://www.imdb.com/title/tt0221027/,US,2001,$52.9M,Ted Demme,1,George Jung,Criminal,Known,White,0,Male,Johnny Depp
Blue,http://www.imdb.com/title/tt0106438/,UK,1993,$1.72M,Derek Jarman,1,Derek Jarman,Other,Unknown,,0,Male,Derek Jarman
Blue Caprice,http://www.imdb.com/title/tt2027064/,US,2013,$86.7K,Alexandre Moors,1,John Allen Muhammad,Criminal,Known,African American,1,Male,Isaiah Washington
Bobby Jones: Stroke of Genius,http://www.imdb.com/title/tt0375104/,US,2004,$2.69M,Rowdy Herrington,1,Bobby Jones,Athlete,Unknown,,0,Male,Jim Caviezel
Bonnie and Clyde,http://www.imdb.com/title/tt0061418/,US,1967,-,Arthur Penn,2,Clyde Barrow,Criminal,Unknown,,0,Male,Warren Beatty
Bonnie and Clyde,http://www.imdb.com/title/tt0061418/,US,1967,-,Arthur Penn,2,Bonnie Parker,Criminal,Unknown,,0,Female,Faye Dunaway
Born on the Fourth of July,http://www.imdb.com/title/tt0096969/,US,1989,$70M,Oliver Stone,1,Ron Kovic,Military / activist,Unknown,,0,Male,Tom Cruise
Bound for Glory,http://www.imdb.com/title/tt0074235/,US,1976,-,Hal Ashby,1,Woody Guthrie,Singer,Known,White,0,Male,David Carradine
Boys Don't Cry,http://www.imdb.com/title/tt0171804/,US,1999,$11.5M,Kimberly Peirce,1,Brandon Teena,Other,Unknown,,0,Male,Hilary Swank
Boys Town,http://www.imdb.com/title/tt0029942/,US,1938,-,Norman Taurog,1,Father Edward Flanagan,Other,Known,White,0,Male,Spencer Tracy
Braveheart,http://www.imdb.com/title/tt0112573/,US,1995,$75.6M,Mel Gibson,1,William Wallace,Military,Known,White,0,Male,Mel Gibson
Breach,http://www.imdb.com/title/tt0401997/,US,2007,$33M,Billy Ray,1,Robert Hanssen,Criminal,Known,White,0,Male,Chris Cooper
Brigham Young,http://www.imdb.com/title/tt0032281/,US,1940,-,Henry Hathaway,1,Brigham Young,Other,Known,White,0,Male,Dean Jagger
Bright Star,http://www.imdb.com/title/tt0810784/,UK,2009,$4.44M,Jane Campion,2,John Keats,Author (poet),Known,White,0,Male,Ben Whishaw
Bright Star,http://www.imdb.com/title/tt0810784/,UK,2009,$4.44M,Jane Campion,2,Fanny Brawne,Other,Unknown,,0,Female,Abbie Cornish
Bronson,http://www.imdb.com/title/tt1172570/,UK,2008,$105K,Nicolas Winding Refn,1,Charles Bronson,Criminal,Unknown,,0,Male,Tom Hardy
"Brother Sun, Sister Moon",http://www.imdb.com/title/tt0069824/,UK,1972,-,Franco Zeffirelli,1,St. Francis of Assisi ,Historical,Known,White,0,Male,Graham Faulkner
