name,founded_year,country_code,state_code,zip_code,city,address1,raised_amount
ACAL Energy,,GBR,,WA7 4QX,Runcorn ,The Heath Business and Technical Park ,0
Acambis,1992,GBR,,CB1 9PT,Cambridge,Peterhouse,0
Acanthus Infotech,,IND,,600044,Chennai,,0
"ACBA Services, Inc.",1977,USA,PA,15219,Pittsburgh,400 Koppers building,0
Accedian Networks,,CAN,,H4R 2P1,"Saint-Laurent, QC","4878, Levy, Suite 202 ",31040000.0
Accedo Broadband,2004,SWE,,164 40,Kista,Farogatan 7,1270000.0
Accelerate Mobile Apps,2009,USA,CA,95066,Scotts Valley,5321 Scotts Valley Drive,250000.0
Accelerated IO,2004,USA,OK,74133,Tulsa,7633 East 63rd Pl,3000000.0
Acceleratio,,HRV,,21000,Split,,0
Accelerator for a Clean and Renewable Economy,,USA,NY,10013,New York,160 Varick Street,0
AccelerEyes,2007,USA,GA,30308 ,Atlanta,75 5th St NW,0
Accelerize New Media,2005,USA,CA,90025,Los Angeles,12121 Wilshire Blvd,745500.0
Acceleron Pharma,2004,USA,MA,02139,Cambridge,128 Sidney Street,80351121.0
AccelGolf,2008,USA,MA,02138,Cambridge,,562000.0
Accell Telesystems,1982,CAN,,,,,0
Accellion,1999,USA,CA,94303,Palo Alto,1900 Embarcadero Road #206,0
Accellos,2006,USA,CO,80903,Colorado Springs,90 South Cascade Avenue,51400000.0
AccelOps,2007,USA,CA,95054,Santa Clara,"2905 Stender Way, Suite 48",0
Accelrys,,USA,CA,92121,San Diego,10188 Telesis Court,0
Accent ,,ITA,,,,"Via Trieste, 26/28",0
Accentia,,IND,,400614,Navi Mumbai,D-207 Second Floor,0
Accentium Web,2007,IND,,122016,Gurgaon,,0
Accenx Technologies,1997,USA,CA,92618,Irvine,6 Jenner,0
Accept Software,2002,USA,CA,94538,Fremont,42840 Christy Street,22305000.0
AcceptEmail,2006,NLD,,1096 AT,Amsterdam,Joop Geesinkweg 125,0
Acceptys,2002,USA,NJ,07871,Sparta,1 Main Street,0
Accera,2001,USA,CO,Broomfield,Broomfield,Interlocken Advanced Technology Park,50550000.0
Accertify,2007,USA,IL,60143,Itasca,1075 w. Hawthorn Drive,4700000.0
Access,1979,JPN,,101-0064,"Chiyoda-ku, Tokyo","Hirata Bldg, 2-8-16 Sarugaku-cho",0
Access Closure,2002,USA,CA,94043,Mountain View,645 Clyde Avenue,9999998.0
Access Communications,1991,USA,CA,94105,San Francisco,101 Howard Street,0
Access Forensics,,USA,MO,63101,St. Louis,911 Washington Ave.,0
Access Innovations,1978,USA,NM,87110,Albuquerque,"4725 Indian School Rd. NE, Suite 100",0
Access Intelligence,,USA,MD,20850,Rockville,4 Choke Cherry Road ,7380000.0
ACCESS Litigation Support Services,2002,USA,DC,20005,Washington,1101 Vermont Avenue,0
Access New Media,2010,USA,CA,94107,San Francisco,350 Townsend #308A,0
Access Northeast,1999,USA,MA,01752,Marlborough,34 Staint Martin Drive,1999998.0
Access Point,2008,ROM,,700187,Iasi,Socola 134a,4500000.0
Access360 Media,,USA,CA,90291,Los Angeles,1255 Electric Ave,8000000.0
