name_common,age,player_ID,year_ID,team_ID,lg_ID,pct_PT,WAR162,def_pos,quasi_ws,stint_ID,franch_id,prev_franch,year_acq,year_left,next_franch
Keon Broxton,29,broxtke01,2019,BAL,AL,1.073719008,0.071320755,"CF, LF, RF",1,2,BAL,NYM,2019,2019,SEA
Austin Wynns,28,wynnsau01,2019,BAL,AL,0.632727273,-0.025471698,C,1,1,BAL,NULL,2018,2019,NULL
Tanner Scott,24,scottta01,2019,BAL,AL,0.62672453,-0.035660377,P,1,1,BAL,NULL,2017,2019,NULL
Dillon Tate,25,tatedi01,2019,BAL,AL,0.656081135,-0.071320755,P,1,1,BAL,NULL,2019,2019,NULL
Jace Peterson,29,peterja01,2019,BAL,AL,1.035371901,-0.157924528,"LF, 3B, 2B, RF",1,1,BAL,NYY,2018,2019,NULL
Branden Kline,27,klinebr01,2019,BAL,AL,1.295119851,-0.168113208,P,1,1,BAL,NULL,2019,2019,NULL
Stevie Wilkerson,27,wilkest01,2019,BAL,AL,3.374545455,-0.830377358,"CF, LF, 2B, RF, P",1,1,BAL,NULL,2018,2019,NULL
Josh Lucas,28,lucasjo02,2019,BAL,AL,0.317466994,0.040754717,P,0,1,BAL,OAK,2019,2019,NULL
Ryan Eades,27,eadesry01,2019,BAL,AL,0.3740499,0.010188679,P,0,2,BAL,MIN,2019,2019,NULL
Jose Rondon,25,rondojo02,2019,BAL,AL,0.009586777,-0.015283019,"2B, SS, 3B, LF, 1B, P",0,2,BAL,CHW,2019,2019,NULL
Drew Jackson,25,jacksdr01,2019,BAL,AL,0.038347107,-0.066226415,"CF, LF",0,1,BAL,NULL,2019,2019,NULL
Pedro Araujo,25,araujpe01,2019,BAL,AL,0.011846559,-0.091698113,P,0,1,BAL,NULL,2018,2019,NULL
Mason Williams,27,willima10,2019,BAL,AL,0.325950413,-0.091698113,"CF, LF, RF",0,1,BAL,CIN,2019,2019,NULL
Jesus Sucre,31,sucreje01,2019,BAL,AL,0.64231405,-0.101886792,"C, 1B, P",0,1,BAL,TBD,2019,2019,NULL
Yefry Ramirez,25,ramirye01,2019,BAL,AL,0.326975416,-0.13754717,P,0,1,BAL,NULL,2018,2019,PIT
Luis Ortiz,23,ortizlu02,2019,BAL,AL,0.097162566,-0.163018868,P,0,1,BAL,NULL,2018,2019,NULL
Chandler Shepherd,26,shephch01,2019,BAL,AL,0.351343996,-0.183396226,P,0,1,BAL,NULL,2019,2019,NULL
Mark Trumbo,33,trumbma01,2019,BAL,AL,0.258842975,-0.193584906,,0,1,BAL,SEA,2016,2019,NULL
Sean Gilmartin,29,gilmase01,2019,BAL,AL,0.066195246,-0.219056604,P,0,1,BAL,NYM,2018,2019,NULL
Jimmy Yacabonis,27,yacabji01,2019,BAL,AL,1.073672334,-0.295471698,P,0,1,BAL,NULL,2017,2019,NULL
Matt Wotherspoon,27,wothema01,2019,BAL,AL,0.148393737,-0.305660377,P,0,1,BAL,NULL,2019,2019,NULL
Mike Wright,29,wrighmi01,2019,BAL,AL,0.332534985,-0.310754717,P,0,1,BAL,NULL,2015,2019,SEA
Josh Rogers,24,rogerjo01,2019,BAL,AL,0.290448526,-0.356603774,P,0,1,BAL,NULL,2018,2019,NULL
Tom Eshelman,25,eshelto01,2019,BAL,AL,0.864175293,-0.40245283,P,0,1,BAL,NULL,2019,2019,NULL
Tayler Scott,27,scottta02,2019,BAL,AL,0.148601572,-0.427924528,P,0,2,BAL,SEA,2019,2019,NULL
Ty Blach,28,blachty01,2019,BAL,AL,0.60240791,-0.468679245,P,0,2,BAL,SFG,2019,2019,NULL
Alex Cobb,31,cobbal01,2019,BAL,AL,0.359501494,-0.514528302,P,0,1,BAL,TBD,2018,2019,NULL
DJ Stewart,25,stewadj01,2019,BAL,AL,1.275041322,-0.652075472,"RF, LF",0,1,BAL,NULL,2018,2019,NULL
Cedric Mullins,24,mullice01,2019,BAL,AL,0.709421488,-0.779433962,CF,0,1,BAL,NULL,2018,2019,NULL
David Hess,25,hessda01,2019,BAL,AL,2.119910532,-0.988301887,P,0,1,BAL,NULL,2018,2019,NULL
Richie Martin,24,martiri01,2019,BAL,AL,2.885619835,-1.039245283,SS,0,1,BAL,NULL,2019,2019,NULL
