Date,China,US,United_Kingdom,Italy,France,Germany,Spain,Iran
2020-04-06,84611,380798,66715,132547,50884,95391,136675,60500
2020-04-07,84692,410834,72199,135586,47395,99225,141942,62589
2020-04-08,84909,441897,77369,139422,51250,103228,148220,64586
2020-04-09,85024,477507,82281,143626,55034,108202,153222,66220
2020-04-10,85115,511790,86620,147577,56600,113525,158273,68192
2020-04-11,85208,540714,90248,152271,58045,117658,163027,70029
2020-04-12,85377,567022,93784,156363,108792,120479,166831,71686
2020-04-13,85489,594165,97993,159516,111933,123016,170099,73303
2020-04-14,85569,622493,102352,162488,129381,125098,172541,74877
2020-04-15,85668,648390,107454,165155,132588,127584,177644,76389
2020-04-16,85774,678028,112792,168941,145166,130450,184948,77995
2020-04-17,86187,711135,117777,172434,147057,133830,190839,79494
2020-04-18,86258,738464,122508,175925,150861,137439,191726,80868
2020-04-19,86321,763886,126375,178972,151955,139897,198674,82211
2020-04-20,86382,793970,131252,181228,154402,141672,200210,83505
2020-04-21,86452,820045,136023,183957,157068,143457,204178,84802
2020-04-22,86508,849926,141529,187327,158867,145694,208389,85996
2020-04-23,86548,881891,146682,189973,157158,148046,213024,87026
2020-04-24,86594,913856,151662,192994,159969,150383,202990,88194
2020-04-25,86632,944770,155445,195351,161647,152438,205905,89328
2020-04-26,86661,970741,158920,197675,162280,154175,207634,90481
2020-04-27,86692,995390,163627,199414,165966,155193,209465,91472
2020-04-28,86754,1019963,168351,201505,169098,156337,210773,92584
2020-04-29,86783,1046815,173796,203591,167643,157641,212917,93657
2020-04-30,86828,1076517,178765,205463,168861,159119,213435,94640
2020-05-01,86850,1111409,183500,207428,169387,160758,215216,95646
2020-05-02,86858,1138174,186726,209328,170179,161703,216582,96448
2020-05-03,86842,1161907,189702,210717,170540,162496,217466,97424
2020-05-04,86838,1185709,193086,211938,171102,163175,218011,98647
2020-05-05,86855,1209728,196775,213013,172219,163860,219329,99970
2020-05-06,86877,1234210,200612,214457,176355,164807,220325,101650
2020-05-07,86888,1261949,204383,215858,177096,166091,221447,103135
2020-05-08,86905,1289132,207435,217185,177627,167300,222857,104691
2020-05-09,86934,1313586,209585,218268,178155,168551,223578,106220
2020-05-10,86973,1332332,211907,219070,178404,169218,224350,107603
2020-05-11,86980,1351409,215495,219814,178719,169575,227436,109286
2020-05-12,87002,1374791,218892,221216,179472,170508,228030,110767
2020-05-13,87016,1394806,222191,222104,179993,171306,228691,112725
2020-05-14,87032,1420696,224809,223096,180635,172239,229540,114533
2020-05-15,87052,1445547,227330,223885,181148,173152,230183,116635
2020-05-16,87070,1469597,229397,224760,181563,173772,230698,118392
2020-05-17,87092,1488326,231223,225435,181703,174355,230698,120198
2020-05-18,87119,1510634,233799,225886,182147,174697,231606,122492
2020-05-19,87135,1531136,236862,226699,182648,175210,232037,124603
2020-05-20,87151,1553962,239572,227364,183129,176007,232555,126949
2020-05-21,87190,1579114,242126,228006,183396,176752,233037,129341
2020-05-22,87235,1602942,244170,228658,184152,177212,234824,131652
2020-05-23,87266,1623131,245678,229327,184698,177850,235290,133521
2020-05-24,87313,1643305,247033,229858,184259,178281,235772,135701
2020-05-25,87360,1662399,248645,230158,184584,178570,235400,137724
2020-05-26,87390,1681125,250304,230555,184839,179002,236259,139511
2020-05-27,87421,1699888,252113,231139,185012,179364,236259,141591
2020-05-28,87444,1721155,253849,231732,188355,179717,237906,143849
2020-05-29,87466,1746237,255358,232248,188949,180458,238564,146668
2020-05-30,87475,1769317,256465,232664,190743,181196,239228,148950
2020-05-31,87496,1788236,257535,232997,190975,181482,239479,151466
2020-06-01,87520,1806076,258979,233197,191382,181815,239638,154445
2020-06-02,87535,1826166,260449,233515,190735,182028,239932,157562
2020-06-03,87538,1845322,261797,233836,187509,182370,240326,160696
2020-06-04,87553,1873256,263035,234013,191869,182764,240660,164270
2020-06-05,87561,1899695,264146,234531,192450,183271,240978,167156
2020-06-06,87572,1919964,264938,234801,193022,183678,241310,169425
2020-06-07,87581,1937790,265656,234998,193363,183979,241550,171789
2020-06-08,87587,1954689,266751,235278,193637,184193,241717,173832
2020-06-09,87610,1975010,267909,235561,194190,184543,241966,175927
2020-06-10,87626,1996728,269097,235763,194815,184861,242280,177938
2020-06-11,87636,2019006,270104,236142,195179,185416,242707,180156
2020-06-12,87648,2044564,271158,236305,195980,185674,243209,182525
2020-06-13,87713,2068721,272046,236651,196477,186022,243605,184955
2020-06-14,87769,2087622,272853,236989,196867,186269,243928,187427
2020-06-15,87830,2108621,273881,237290,197003,186461,244109,189876
2020-06-16,87880,2133170,274964,237500,197666,186839,244328,192439
2020-06-17,87921,2160220,275964,237828,198155,187184,244683,195051
2020-06-18,87965,2188447,276984,238159,198741,187764,245268,197647
2020-06-19,87971,2219501,277970,238011,199528,188534,245575,200262
