year,state,chamber,district,metric,value,pct
2020,AZ,,5,pvi,R+57.6,
2020,AZ,,5,total_pop,228031,
2020,AZ,,5,total_vap,189752,100
2020,AZ,,5,trump_2020,,74.74
2020,AZ,,5,two_plus_vap,7327,3.86
2020,AZ,,5,white_vap,146707,77.32
2020,AZ,,6,asian_vap,2870,1.5
2020,AZ,,6,biden_2020,,45.09
2020,AZ,,6,black_vap,2068,1.08
2020,AZ,,6,hispanic_vap,26923,14.1
2020,AZ,,6,native_vap,10615,5.56
2020,AZ,,6,other_vap,877,0.46
2020,AZ,,6,pacisl_vap,301,0.16
2020,AZ,,6,pvi,R+15.7,
2020,AZ,,6,total_pop,232171,
2020,AZ,,6,total_vap,190917,100
2020,AZ,,6,trump_2020,,53.25
2020,AZ,,6,two_plus_vap,7058,3.7
2020,AZ,,6,white_vap,140205,73.44
2020,AZ,,7,asian_vap,900,0.63
2020,AZ,,7,biden_2020,,62.58
2020,AZ,,7,black_vap,712,0.5
2020,AZ,,7,hispanic_vap,8642,6.07
2020,AZ,,7,native_vap,91145,64.02
2020,AZ,,7,other_vap,244,0.17
2020,AZ,,7,pacisl_vap,52,0.04
2020,AZ,,7,pvi,D+19.1,
2020,AZ,,7,total_pop,194163,
2020,AZ,,7,total_vap,142379,100
2020,AZ,,7,trump_2020,,35.95
2020,AZ,,7,two_plus_vap,2714,1.91
2020,AZ,,7,white_vap,37970,26.67
2020,AZ,,8,asian_vap,2558,1.46
2020,AZ,,8,biden_2020,,41.65
2020,AZ,,8,black_vap,8218,4.69
2020,AZ,,8,hispanic_vap,53315,30.43
2020,AZ,,8,native_vap,10166,5.8
2020,AZ,,8,other_vap,578,0.33
2020,AZ,,8,pacisl_vap,435,0.25
2020,AZ,,8,pvi,R+21.6,
2020,AZ,,8,total_pop,229764,
2020,AZ,,8,total_vap,175216,100
2020,AZ,,8,trump_2020,,56.72
2020,AZ,,8,two_plus_vap,6038,3.45
2020,AZ,,8,white_vap,93908,53.6
2020,AZ,,9,asian_vap,7897,4.31
2020,AZ,,9,biden_2020,,62.81
2020,AZ,,9,black_vap,5319,2.91
2020,AZ,,9,hispanic_vap,39708,21.7
2020,AZ,,9,native_vap,1678,0.92
2020,AZ,,9,other_vap,865,0.47
2020,AZ,,9,pacisl_vap,348,0.19
2020,AZ,,9,pvi,D+17.4,
2020,AZ,,9,total_pop,220100,
2020,AZ,,9,total_vap,183018,100
2020,AZ,,9,trump_2020,,35.79
2020,AZ,,9,two_plus_vap,6327,3.46
2020,AZ,,9,white_vap,120876,66.05
2020,AZ,,10,asian_vap,5815,3.24
2020,AZ,,10,biden_2020,,58.92
2020,AZ,,10,black_vap,8783,4.9
2020,AZ,,10,hispanic_vap,40785,22.75
2020,AZ,,10,native_vap,1608,0.9
2020,AZ,,10,other_vap,935,0.52
2020,AZ,,10,pacisl_vap,445,0.25
2020,AZ,,10,pvi,D+9.8,
2020,AZ,,10,total_pop,220362,
2020,AZ,,10,total_vap,179264,100
2020,AZ,,10,trump_2020,,39.51
2020,AZ,,10,two_plus_vap,7123,3.97
2020,AZ,,10,white_vap,113770,63.47
2020,AZ,,11,asian_vap,5326,2.73
2020,AZ,,11,biden_2020,,45.96
2020,AZ,,11,black_vap,7788,3.99
2020,AZ,,11,hispanic_vap,39906,20.44
2020,AZ,,11,native_vap,2461,1.26
2020,AZ,,11,other_vap,887,0.45
2020,AZ,,11,pacisl_vap,323,0.17
2020,AZ,,11,pvi,R+15.8,
2020,AZ,,11,total_pop,250685,
2020,AZ,,11,total_vap,195275,100
2020,AZ,,11,trump_2020,,52.66
2020,AZ,,11,two_plus_vap,6501,3.33
2020,AZ,,11,white_vap,132083,67.64
2020,AZ,,12,asian_vap,12765,5.97
2020,AZ,,12,biden_2020,,40.23
2020,AZ,,12,black_vap,7430,3.47
2020,AZ,,12,hispanic_vap,32592,15.23
2020,AZ,,12,native_vap,1488,0.7
2020,AZ,,12,other_vap,926,0.43
2020,AZ,,12,pacisl_vap,450,0.21
