UID,iso2,code3,FIPS,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Population
17015,CO,170,,,Cundinamarca,Colombia,5.026,-74.03,"Cundinamarca, Colombia",2919060
17016,CO,170,,,Guainia,Colombia,2.5854,-68.5247,"Guainia, Colombia",48114
17017,CO,170,,,Guaviare,Colombia,1.0654,-73.2603,"Guaviare, Colombia",82767
17018,CO,170,,,Huila,Colombia,2.5359,-75.5277,"Huila, Colombia",1100386
17019,CO,170,,,La Guajira,Colombia,11.3548,-72.5205,"La Guajira, Colombia",880560
17020,CO,170,,,Magdalena,Colombia,10.4113,-74.4057,"Magdalena, Colombia",1341746
17021,CO,170,,,Meta,Colombia,3.272,-73.0877,"Meta, Colombia",1039722
17022,CO,170,,,Narino,Colombia,1.2892,-77.3579,"Narino, Colombia",1630592
17023,CO,170,,,Norte de Santander,Colombia,7.9463,-72.8988,"Norte de Santander, Colombia",1491689
17024,CO,170,,,Putumayo,Colombia,0.436,-75.5277,"Putumayo, Colombia",348182
17025,CO,170,,,Quindio,Colombia,4.461,-75.6674,"Quindio, Colombia",539904
17026,CO,170,,,Risaralda,Colombia,5.3158,-75.9928,"Risaralda, Colombia",943401
17027,CO,170,,,San Andres y Providencia,Colombia,12.5567,-81.7185,"San Andres y Providencia, Colombia",61280
17028,CO,170,,,Santander,Colombia,6.6437,-73.6536,"Santander, Colombia",2184837
17029,CO,170,,,Sucre,Colombia,8.814,-74.7233,"Sucre, Colombia",904863
17030,CO,170,,,Tolima,Colombia,4.0925,-75.1545,"Tolima, Colombia",1330187
17031,CO,170,,,Valle del Cauca,Colombia,3.8009,-76.6413,"Valle del Cauca, Colombia",4475886
17032,CO,170,,,Vaupes,Colombia,0.8554,-70.812,"Vaupes, Colombia",40797
17033,CO,170,,,Vichada,Colombia,4.4234,-69.2878,"Vichada, Colombia",107808
17034,CO,170,,,Unknown,Colombia,,,"Unknown, Colombia",
178,CG,178,,,,Congo (Brazzaville),-0.228,15.8277,Congo (Brazzaville),5518092
180,CD,180,,,,Congo (Kinshasa),-4.0383,21.7587,Congo (Kinshasa),89561404
174,KM,174,,,,Comoros,-11.6455,43.3333,Comoros,869595
188,CR,188,,,,Costa Rica,9.7489,-83.7534,Costa Rica,5094114
384,CI,384,,,,Cote d'Ivoire,7.54,-5.5471,Cote d'Ivoire,26378275
191,HR,191,,,,Croatia,45.1,15.2,Croatia,4105268
192,CU,192,,,,Cuba,21.521757,-77.781167,Cuba,11326616
196,CY,196,,,,Cyprus,35.1264,33.4299,Cyprus,1207361
203,CZ,203,,,,Czechia,49.8175,15.473,Czechia,10708982
