stcd,state,cd,pvi_22,urbanindex,rural,exurban,suburban,urban,grouping
FL-13,FL,13,-12.21101,12.18172,0.00000,3.51487,73.54133,22.94380,Dense Suburban
GA-07,GA,7,16.06356,12.16479,0.00000,4.54574,76.50246,18.95181,Dense Suburban
FL-14,FL,14,13.94249,12.15817,0.00000,7.67331,60.67054,31.65615,Dense Suburban
PA-12,PA,12,15.14610,12.14250,0.00000,20.96462,33.22868,45.80669,Dense Suburban
GA-04,GA,4,50.03119,12.11052,0.00000,21.50045,36.88387,41.61568,Dense Suburban
AZ-05,AZ,5,-23.84388,12.09759,0.00000,11.05679,58.84391,30.09930,Dense Suburban
KY-03,KY,3,20.46741,12.09429,0.54462,5.89374,74.40800,19.15364,Dense Suburban
NV-04,NV,4,5.33205,12.07472,11.56668,3.12470,18.72504,66.58357,Dense Suburban
AZ-01,AZ,1,-6.45128,12.05529,3.81834,15.58510,36.36088,44.23569,Dense Suburban
VA-03,VA,3,31.38142,12.04100,0.00000,8.59103,71.86872,19.54025,Dense Suburban
RI-01,RI,1,31.99739,12.00113,0.67039,33.27407,20.30019,45.75534,Dense Suburban
CA-10,CA,10,34.24945,11.99965,1.45461,7.68880,78.66309,12.19351,Dense Suburban
FL-28,FL,28,-3.94418,11.99153,9.27949,5.01807,33.80358,51.89886,Dense Suburban
TX-16,TX,16,32.61381,11.98973,0.00000,9.46415,78.83748,11.69838,Dense Suburban
NJ-12,NJ,12,28.26488,11.95689,0.00000,18.17375,58.06198,23.76427,Dense Suburban
NE-02,NE,2,-2.56016,11.95222,5.52131,7.60087,60.69390,26.18392,Dense Suburban
TX-35,TX,35,37.70867,11.94555,0.39626,31.02100,26.76140,41.82134,Dense Suburban
OH-01,OH,1,3.19463,11.92570,3.29126,20.74607,43.23457,32.72810,Dense Suburban
NC-14,NC,14,11.44961,11.90635,0.51351,24.96038,56.53139,17.99472,Dense Suburban
CA-08,CA,8,50.61429,11.90436,0.93844,9.52384,78.79268,10.74504,Dense Suburban
MN-03,MN,3,14.34691,11.89663,1.22688,15.02150,74.08884,9.66278,Dense Suburban
MO-05,MO,5,19.78634,11.89316,0.00000,16.83868,76.52747,6.63385,Dense Suburban
CT-04,CT,4,23.31712,11.88718,0.00000,20.47825,58.93618,20.58557,Dense Suburban
CA-49,CA,49,5.71149,11.85506,5.91514,5.32425,67.04153,21.71907,Dense Suburban
PA-04,PA,4,13.54360,11.84089,2.94080,28.93688,47.10812,21.01420,Dense Suburban
NY-01,NY,1,-5.38142,11.83754,11.74389,15.01085,31.16925,42.07600,Dense Suburban
MA-06,MA,6,26.03678,11.83451,0.53474,26.23461,49.79656,23.43409,Dense Suburban
NC-02,NC,2,23.77048,11.81898,2.48324,16.79407,78.84449,1.87821,Dense Suburban
MD-02,MD,2,11.00795,11.81179,8.41733,22.72247,35.02284,33.83736,Dense Suburban
MD-03,MD,3,14.20105,11.80920,2.61113,19.82275,76.43608,1.13004,Dense Suburban
NY-25,NY,25,13.44038,11.80862,5.01991,27.64087,33.95527,33.38395,Dense Suburban
CT-03,CT,3,11.90749,11.80288,1.00723,30.34670,52.51076,16.13531,Dense Suburban
TN-09,TN,9,42.60712,11.79929,5.02580,11.06149,83.91272,0.00000,Dense Suburban
NC-12,NC,12,25.34715,11.79664,0.00000,32.05243,62.82385,5.12373,Dense Suburban
MA-04,MA,4,27.74688,11.77869,0.34289,52.33839,26.22046,21.09826,Dense Suburban
