Country or Area,Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
Andorra,2005,Total,Both Sexes,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2007,23587,1
Andorra,2003,Total,Both Sexes,ANDORRA LA VELLA,Urban agglomeration,Estimate - de jure,"Final figure, complete",2004,21245,1
Anguilla,2011,Total,Both Sexes,THE VALLEY,City proper,Census - de facto - complete tabulation,"Final figure, complete",2016,2812,
Anguilla,2001,Total,Both Sexes,THE VALLEY,City proper,Estimate - de facto,"Final figure, complete",2003,4904,
Antigua and Barbuda,1991,Total,Both Sexes,ST. JOHN,City proper,Census - de facto - complete tabulation,"Final figure, complete",1991,22342,
Argentina,2024,Total,Both Sexes,Bahía Blanca-Cerri,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,321260.32335075,4
Argentina,2024,Total,Both Sexes,BUENOS AIRES,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,16007326.644826,4
Argentina,2024,Total,Both Sexes,Catamarca,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,232547.733713218,4
Argentina,2024,Total,Both Sexes,Comodoro Rivadavia-Rada Tilly,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,254499.019062633,4
Argentina,2024,Total,Both Sexes,Concordia,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,165289.63546794,4
Argentina,2024,Total,Both Sexes,Córdoba,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,1601119.90123875,4
Argentina,2024,Total,Both Sexes,Corrientes,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,391608.975087023,4
Argentina,2024,Total,Both Sexes,Formosa,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,263135.932785048,4
Argentina,2024,Total,Both Sexes,La Plata,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,934083.991167274,4
Argentina,2024,Total,Both Sexes,La Rioja,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,236498.443499524,4
Argentina,2024,Total,Both Sexes,San Luis - El Chorrillo,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,249772.588920347,4
Argentina,2024,Total,Both Sexes,Mar del Plata-Batán,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,664551.542292434,4
Argentina,2024,Total,Both Sexes,Mendoza,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,1056759.44878109,4
Argentina,2024,Total,Both Sexes,Neuquén-Plottier,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,322881.308077617,4
Argentina,2024,Total,Both Sexes,Paraná,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,286559.040921474,4
Argentina,2024,Total,Both Sexes,Posadas,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,389469.288133951,4
Argentina,2024,Total,Both Sexes,Rawson-Trelew-Playa Unión,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,151699.262690578,4
Argentina,2024,Total,Both Sexes,Resistencia,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,424772.746719463,4
Argentina,2024,Total,Both Sexes,Río Cuarto,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,182898.555954941,4
Argentina,2024,Total,Both Sexes,Rio Gallegos,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,131325.535103942,4
Argentina,2024,Total,Both Sexes,Rosario,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,1353541.38805379,4
Argentina,2024,Total,Both Sexes,Salta,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,665929.028939425,4
Argentina,2024,Total,Both Sexes,San Juan,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,554662.833981434,4
Argentina,2024,Total,Both Sexes,San Nicolás-Villa Constitución,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,199123.887994556,4
Argentina,2024,Total,Both Sexes,San Salvador de Jujuy-Palpalá,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,359776.978122024,4
Argentina,2024,Total,Both Sexes,Santa Fé,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,550756.449946301,4
Argentina,2024,Total,Both Sexes,Santa Rosa-Toay,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,132477.251002524,4
Argentina,2024,Total,Both Sexes,Santiago del Estero-La Banda,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,416406.893705673,4
Argentina,2024,Total,Both Sexes,Tucumán-Tafí Viejo,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,923681.148120602,4
Argentina,2024,Total,Both Sexes,Ushuaia-Río Grande,Urban agglomeration,Estimate - de facto,"Final figure, complete",2025,178578.902144307,4
Argentina,2022,Total,Both Sexes,Bahía Blanca-Cerri,Urban agglomeration,Estimate - de facto,"Final figure, complete",2022,317942.260652015,4
