current_name,states,original_name,current_agency,action,date,year,pres_or_congress,acres_affected
Devils Tower National Monument,Wyoming,,NPS,Established,9/24/06,1906,T. Roosevelt,"1,193.91"
El Morro National Monument,New Mexico,,NPS,Established,12/8/06,1906,T. Roosevelt,160
El Morro National Monument,New Mexico,,NPS,Enlarged,6/18/17,1917,W. Wilson,240
Montezuma Castle National Monument,Arizona,,NPS,Established,12/8/06,1906,T. Roosevelt,161.39
Montezuma Castle National Monument,Arizona,,NPS,Enlarged,2/23/37,1937,F. D. Roosevelt,360
Montezuma Castle National Monument,Arizona,,NPS,Enlarged,11/10/78,1978,95th Congress,13
Montezuma Castle National Monument,Arizona,,NPS,Deleted,11/10/78,1978,95th Congress,5
Petrified Forest National Park,Arizona,Petrified Forest National Monument,NPS,Established,12/8/06,1906,T. Roosevelt,"60,776.02"
Petrified Forest National Park,Arizona,Petrified Forest National Monument,NPS,Diminished,7/31/11,1911,W. Taft,"25,625.60"
Petrified Forest National Park,Arizona,Petrified Forest National Monument,NPS,Enlarged,11/14/30,1930,H. Hoover,"11,010"
Petrified Forest National Park,Arizona,Petrified Forest National Monument,NPS,Redesignated NP,3/28/58,1958,85th Congress,
Petrified Forest National Park,Arizona,Petrified Forest National Monument,NPS,Enlarged,11/30/31,1931,H. Hoover,
Petrified Forest National Park,Arizona,Petrified Forest National Monument,NPS,Enlarged,9/23/32,1932,H. Hoover,"53,300"
Chaco Culture National Historical Park,New Mexico,Chaco Canyon National Monument,NPS,Established,3/11/07,1907,T. Roosevelt,"10,643.13"
Chaco Culture National Historical Park,New Mexico,Chaco Canyon National Monument,NPS,Enlarged,1/10/28,1928,C. Coolidge,"21,509.40"
Chaco Culture National Historical Park,New Mexico,Chaco Canyon National Monument,NPS,Redesignated Chaco Culture NHP,12/19/80,1980,96th Congress,
Lassen Volcanic National Park,California,Cinder Cone National Monument,NPS,Established,5/6/07,1907,T. Roosevelt,"5,120"
Lassen Volcanic National Park,California,Cinder Cone National Monument,NPS,Incorporated into Lassen Volcanic NP,8/9/16,1916,64th Congress,
Lassen Volcanic National Park,California,Lassen Volcanic National Monument,NPS,Established,5/6/07,1907,T. Roosevelt,"1,280"
Lassen Volcanic National Park,California,Lassen Volcanic National Monument,NPS,Redesignated Lassen Volcanic NP,8/9/16,1916,64th Congress,
Gila Cliff Dwellings National Monument,New Mexico,,NPS,Established,11/16/07,1907,T. Roosevelt,160
Gila Cliff Dwellings National Monument,New Mexico,,NPS,Enlarged,4/17/62,1962,J. Kennedy,373.25
Tonto National Monument,Arizona,,NPS,Established,12/19/07,1907,T. Roosevelt,640
Tonto National Monument,Arizona,,NPS,Enlarged,4/1/37,1937,F. D. Roosevelt,480
Muir Woods National Monument,California,,NPS,Established,1/9/08,1908,T. Roosevelt,295
Muir Woods National Monument,California,,NPS,Enlarged,9/22/21,1921,W. Harding,128.14
Muir Woods National Monument,California,,NPS,Enlarged,4/5/35,1935,F. D. Roosevelt,1.36
Muir Woods National Monument,California,,NPS,Enlarged,6/26/51,1951,H. Truman,504.271
Muir Woods National Monument,California,,NPS,Enlarged,9/8/59,1959,D. Eisenhower,6.16
Grand Canyon National Park,Arizona,Grand Canyon National Monument,NPS,Established,1/11/08,1908,T. Roosevelt,"808,120"
Grand Canyon National Park,Arizona,Grand Canyon National Monument,NPS,Redesignated Grand Canyon NP,2/26/19,1919,65th Congress,
Pinnacles National Park,California,Pinnacles National Monument,NPS,Established,1/16/08,1908,T. Roosevelt,"1,320"
Pinnacles National Park,California,Pinnacles National Monument,NPS,Enlarged,5/7/23,1923,W. Harding,"2,653.46"
Pinnacles National Park,California,Pinnacles National Monument,NPS,Enlarged,7/2/24,1924,C. Coolidge,"2,980.26"
Pinnacles National Park,California,Pinnacles National Monument,NPS,Enlarged,4/13/31,1931,H. Hoover,"1,926.35"
Pinnacles National Park,California,Pinnacles National Monument,NPS,Enlarged,7/11/33,1933,F. D. Roosevelt,4805
Pinnacles National Park,California,Pinnacles National Monument,NPS,Enlarged,12/5/41,1941,F. D. Roosevelt,"4,589.26"
Pinnacles National Park,California,Pinnacles National Monument,NPS,Enlarged,1/11/00,2000,W. Clinton,"7,900"
Pinnacles National Park,California,Pinnacles National Monument,NPS,Redesignated NP,1/10/13,2013,112th Congress,440
Jewel Cave National Monument,South Dakota,,NPS,Established,2/7/08,1908,T. Roosevelt,"1,274.56"
Natural Bridges National Monument,Utah,,NPS,Established,4/16/08,1908,T. Roosevelt,120
Natural Bridges National Monument,Utah,,NPS,Enlarged,9/25/09,1909,W. Taft,"2,620"
Natural Bridges National Monument,Utah,,NPS,Boundaries Confirmed,2/11/16,1916,W. Wilson,
Natural Bridges National Monument,Utah,,NPS,Enlarged,8/14/62,1962,J. Kennedy,"5,236"
Natural Bridges National Monument,Utah,,NPS,Diminished,,,,320
Lewis and Clark Caverns State Park,Montana,Lewis and Clark Cavern National Monument,State of Montana,Established,5/11/08,1908,T. Roosevelt,160
Lewis and Clark Caverns State Park,Montana,Lewis and Clark Cavern National Monument,State of Montana,Boundaries Confirmed,5/16/11,1911,W. Taft,160
Lewis and Clark Caverns State Park,Montana,Lewis and Clark Cavern National Monument,State of Montana,"Transferred to MT, now a state park",8/24/37,1937,75th Congress,
Tumacacori National Historical Park,Arizona,Tumacacori National Monument,NPS,Established,9/15/08,1908,T. Roosevelt,10
Tumacacori National Historical Park,Arizona,Tumacacori National Monument,NPS,Enlarged,3/28/58,1958,D. Eisenhower,0.15
Tumacacori National Historical Park,Arizona,Tumacacori National Monument,NPS,Enlarged,11/10/78,1978,95th Congress,7
Tumacacori National Historical Park,Arizona,Tumacacori National Monument,NPS,Deleted,11/10/78,1978,95th Congress,0.011
Tumacacori National Historical Park,Arizona,Tumacacori National Monument,NPS,Redesignated NHP,8/6/90,1990,101st Congress,
Part of Rio Grande National Forest,Colorado,Wheeler National Monument,BLM,Established,12/7/08,1908,T. Roosevelt,300
