tourney_year,tourney_order,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_dates,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,tourney_year_id
1930,3,Wimbledon,540,wimbledon,"London, Great Britain",1930.06.23,6,23,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1930/results,Bill Tilden,/en/players/bill-tilden/te54/overview,bill-tilden,te54,,,,,1930-540
1930,4,US Championships,560,us-open,"New York, United States",1930.09.06,9,6,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1930/results,John Doeg,/en/players/john-doeg/de24/overview,john-doeg,de24,,,,,1930-560
1931,1,Australian Championships,580,australian-open,"Sydney, Australia",1931.02.27,2,27,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1931/results,Jack Crawford,/en/players/jack-crawford/ci73/overview,jack-crawford,ci73,,,,,1931-580
1931,2,French Championships,520,roland-garros,"Paris, France",1931.05.22,5,22,128,128,Outdoor,Clay,,/en/scores/archive/roland-garros/520/1931/results,Jean Borotra,/en/players/jean-borotra/b820/overview,jean-borotra,b820,,,,,1931-520
1931,3,Wimbledon,540,wimbledon,"London, Great Britain",1931.06.22,6,22,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1931/results,Sidney Jr.  Wood,/en/players/sidney-jr--wood/w796/overview,sidney-jr--wood,w796,,,,,1931-540
1931,4,US Championships,560,us-open,"New York, United States",1931.09.05,9,5,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1931/results,Ellsworth Vines,/en/players/ellsworth-vines/v921/overview,ellsworth-vines,v921,,,,,1931-560
1932,1,Australian Championships,580,australian-open,"Adelaide, Australia",1932.02.08,2,8,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1932/results,Jack Crawford,/en/players/jack-crawford/ci73/overview,jack-crawford,ci73,,,,,1932-580
1932,2,French Championships,520,roland-garros,"Paris, France",1932.05.26,5,26,128,128,Outdoor,Clay,,/en/scores/archive/roland-garros/520/1932/results,Henri Cochet,/en/players/henri-cochet/cj19/overview,henri-cochet,cj19,,,,,1932-520
1932,3,Wimbledon,540,wimbledon,"London, Great Britain",1932.06.20,6,20,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1932/results,Ellsworth Vines,/en/players/ellsworth-vines/v921/overview,ellsworth-vines,v921,,,,,1932-540
1932,4,US Championships,560,us-open,"New York, United States",1932.09.03,9,3,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1932/results,Ellsworth Vines,/en/players/ellsworth-vines/v921/overview,ellsworth-vines,v921,,,,,1932-560
1933,1,Australian Championships,580,australian-open,"Melbourne, Australia",1933.01.21,1,21,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1933/results,Jack Crawford,/en/players/jack-crawford/ci73/overview,jack-crawford,ci73,,,,,1933-580
1933,2,French Championships,520,roland-garros,"Paris, France",1933.05.25,5,25,128,128,Outdoor,Clay,,/en/scores/archive/roland-garros/520/1933/results,Jack Crawford,/en/players/jack-crawford/ci73/overview,jack-crawford,ci73,,,,,1933-520
1933,3,Wimbledon,540,wimbledon,"London, Great Britain",1933.06.26,6,26,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1933/results,Jack Crawford,/en/players/jack-crawford/ci73/overview,jack-crawford,ci73,,,,,1933-540
1933,4,US Championships,560,us-open,"New York, United States",1933.09.02,9,2,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1933/results,Fred Perry,/en/players/fred-perry/pi74/overview,fred-perry,pi74,,,,,1933-560
1934,1,Australian Championships,580,australian-open,"Sydney, Australia",1934.01.18,1,18,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1934/results,Fred Perry,/en/players/fred-perry/pi74/overview,fred-perry,pi74,,,,,1934-580
1934,2,French Championships,520,roland-garros,"Paris, France",1934.05.23,5,23,128,128,Outdoor,Clay,,/en/scores/archive/roland-garros/520/1934/results,Gottfried Von Cramm,/en/players/gottfried-von-cramm/v911/overview,gottfried-von-cramm,v911,,,,,1934-520
1934,3,Wimbledon,540,wimbledon,"London, Great Britain",1934.06.25,6,25,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1934/results,Fred Perry,/en/players/fred-perry/pi74/overview,fred-perry,pi74,,,,,1934-540
1934,4,US Championships,560,us-open,"New York, United States",1934.09.01,9,1,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1934/results,Fred Perry,/en/players/fred-perry/pi74/overview,fred-perry,pi74,,,,,1934-560
1935,1,Australian Championships,580,australian-open,"Melbourne, Australia",1935.01.01,1,1,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1935/results,Jack Crawford,/en/players/jack-crawford/ci73/overview,jack-crawford,ci73,,,,,1935-580
1935,2,French Championships,520,roland-garros,"Paris, France",1935.05.22,5,22,128,128,Outdoor,Clay,,/en/scores/archive/roland-garros/520/1935/results,Fred Perry,/en/players/fred-perry/pi74/overview,fred-perry,pi74,,,,,1935-520
1935,3,Wimbledon,540,wimbledon,"London, Great Britain",1935.06.24,6,24,128,128,Outdoor,Grass,,/en/scores/archive/wimbledon/540/1935/results,Fred Perry,/en/players/fred-perry/pi74/overview,fred-perry,pi74,,,,,1935-540
1935,4,US Championships,560,us-open,"New York, United States",1935.08.29,8,29,128,128,Outdoor,Grass,,/en/scores/archive/us-open/560/1935/results,Wilmer Allison,/en/players/wilmer-allison/ad94/overview,wilmer-allison,ad94,,,,,1935-560
1936,1,Australian Championships,580,australian-open,"Adelaide, Australia",1936.01.20,1,20,32,32,Outdoor,Grass,,/en/scores/archive/australian-open/580/1936/results,Adrian Quist,/en/players/adrian-quist/q964/overview,adrian-quist,q964,,,,,1936-580
