Entity,Year,all_species_number,bau_habitat_loss_all,combined_habitat_loss_all,diets_habitat_loss_all,waste_habitat_loss_all,trade_habitat_loss_all,yields_habitat_loss_all,amphibian_species_number,bau_habitat_loss_amphibians,combined_habitat_loss_amphibians,diets_habitat_loss_amphibians,waste_habitat_loss_amphibians,trade_habitat_loss_amphibians,yields_habitat_loss_amphibians,bird_species_number,bau_habitat_loss_birds,combined_habitat_loss_birds,diets_habitat_loss_birds,waste_habitat_loss_birds,trade_habitat_loss_birds,yields_habitat_loss_birds,mammal_species_number,bau_habitat_loss_mammals,combined_habitat_loss_mammals,diets_habitat_loss_mammals,waste_habitat_loss_mammals,trade_habitat_loss_mammals,yields_habitat_loss_mammals,bau_change_cropland_km2,combined_change_cropland_km2,diets_change_cropland_km2,yields_change_cropland_km2,waste_change_cropland_km2,trade_change_cropland_km2,countries_losing_25_species,bau_change_pct,combined_change_pct,diets_change_pct,yields_change_pct,waste_change_pct,trade_change_pct,species_losing_more_25pct,species_losing_more_25pct_yields,species_losing_more_25pct_combined
Central African Republic,2050,1031,-11.30481528,1.86708301,-8.064015691,-8.659817659,-9.145600575,-0.36824767,63,-12.91074312,1.195478283,-8.639329337,-9.61580386,-9.979976732,-1.051682599,732,-9.688550809,1.947142909,-6.889454903,-7.41740896,-7.945570644,-0.247273229,236,-15.88927351,1.798045939,-11.55356542,-12.2581907,-12.6449913,-0.561031102,16312.16834,-2433.296422,12617.80332,-91.688358,12995.49587,11264.55353,180,182.750845,-27.26105862,141.3616002,-1.027216282,145.59302,126.2006763,,,
Chad,2050,716,-12.79736748,2.940573697,-9.436725788,-9.927513328,-10.80282145,-0.438385795,23,-22.24667499,3.268858716,-17.51104748,-17.6592432,-17.68669822,-2.622414043,554,-11.10988607,2.943863147,-7.982111238,-8.499942401,-9.52301595,-0.180387009,139,-17.95945832,2.873142684,-13.89821544,-14.33790546,-14.76457026,-1.105282757,28190.51895,2458.00321,28607.38903,-3026.20218,19964.54874,33295.08858,183,82.31778973,7.17749793,83.53507217,-8.83666864,58.29752649,97.22340003,,,
Chile,2050,631,-3.573020232,0.490424694,-1.025714743,-2.0813003,-3.657153882,-1.777164829,31,-1.709040449,0.248944323,-0.848314971,-0.581424715,-1.715950942,-0.771461359,496,-3.762927249,0.43431572,-1.065299996,-2.326559425,-3.841974422,-1.937864729,104,-3.222919203,0.830001063,-0.889802318,-1.358681232,-3.354329874,-1.310526916,4224.67837,-859.52361,2374.75853,2074.61543,1164.37553,4224.67837,,30.74654623,-6.255477955,17.28311993,15.09872555,8.474142391,30.74654623,,,
China,2050,2074,-0.039988379,4.921446751,2.560722567,2.194747035,-0.310559331,2.136353081,235,1.394297395,6.909499154,4.243565892,4.386228073,1.244652547,3.454188891,1322,-0.745129434,3.962729716,1.696318098,1.167737567,-0.953380648,1.56318071,517,1.111151499,6.469283513,4.00612784,3.824744082,0.626258834,3.002972922,-186431.223,-635809.745,-389850.329,-268870.034,-446710.317,-186431.223,,-11.22680816,-38.28818971,-23.47661934,-16.19123795,-26.90070339,-11.22680816,,,
Christmas Island,2050,103,-3.796051261,2.028900593,-1.104721533,-1.761381092,-3.743409166,-1.049576864,,,,,,,,98,-3.688164658,2.296368244,-0.921840066,-1.6295598,-3.634444175,-0.806718604,5,-5.910628691,-3.213465371,-4.689198281,-4.345078412,-5.87912299,-5.809598764,,,,,,,,,,,,,,,,
Cocos Islands,2050,53,-3.43598929,0.909930323,-1.630133022,-2.084441242,-3.291385507,-0.955835618,,,,,,,,51,-3.570733968,0.945613865,-1.694059808,-2.166184036,-3.420459448,-0.993319368,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Colombia,2050,2787,-1.920246597,3.041650381,1.661370244,-0.565021192,-2.056907409,-0.232003997,497,-0.45740958,5.314757045,3.78756784,1.109588313,-0.568980334,1.497089668,1901,-2.17962055,2.220472666,0.954573861,-0.9547799,-2.305361645,-0.678950873,389,-2.521686473,4.150454556,2.398901653,-0.799853118,-2.743766676,-0.256974534,-1002.25159,-19934.2542,-15525.17451,-6473.34763,-5581.90005,-1002.25159,,-2.469776378,-49.1225463,-38.25756891,-15.95180414,-13.7550741,-2.469776378,,,
Comoros,2050,158,-4.168205194,0.979617994,-2.455531359,-2.968394596,-3.671054744,-0.321706902,,,,,,,,146,-4.028485153,0.977600937,-2.315375258,-2.837310421,-3.502487991,-0.349525622,12,-5.86813236,1.004158862,-4.160763921,-4.563252057,-5.721950237,0.016754198,,,,,,,,,,,,,,,,
Congo,2050,893,-9.201091804,1.228164691,-6.088033067,-6.877920035,-7.224561253,-0.016548103,54,-10.10044065,0.23692871,-6.101840754,-7.255098162,-7.900243998,-0.76168928,652,-8.128895974,1.339631753,-5.375032884,-6.082843986,-6.402357063,0.080631101,187,-12.67973802,1.12575944,-8.570014373,-9.541139101,-9.896166943,-0.140201674,4923.585529,-369.162096,2435.789785,188.172308,4175.756323,5563.672922,103,169.449516,-12.70503744,83.82984262,6.476115083,143.7123177,191.4786852,,,
Cook Islands,2050,68,-1.99671196,-1.217185898,-1.577472254,-1.689795192,-2.009539095,-1.767108126,,,,,,,,66,-2.045211815,-1.255473987,-1.617540957,-1.738874671,-2.058401156,-1.816725948,2,-0.396216748,0.046321009,-0.255205037,-0.070172377,-0.397091069,-0.129719993,,,,,,,,,,,,,,,,
