sic_code,sic_description,section,section_description,sic_version
14310,Manufacture of knitted and crocheted hosiery,C,Manufacturing,SIC 2007
14390,Manufacture of other knitted and crocheted apparel,C,Manufacturing,SIC 2007
15110,Tanning and dressing of leather; dressing and dyeing of fur,C,Manufacturing,SIC 2007
15120,"Manufacture of luggage, handbags and the like, saddlery and harness",C,Manufacturing,SIC 2007
15200,Manufacture of footwear,C,Manufacturing,SIC 2007
16100,Sawmilling and planing of wood,C,Manufacturing,SIC 2007
16210,Manufacture of veneer sheets and wood-based panels,C,Manufacturing,SIC 2007
16220,Manufacture of assembled parquet floors,C,Manufacturing,SIC 2007
16230,Manufacture of other builders' carpentry and joinery,C,Manufacturing,SIC 2007
16240,Manufacture of wooden containers,C,Manufacturing,SIC 2007
16290,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",C,Manufacturing,SIC 2007
17110,Manufacture of pulp,C,Manufacturing,SIC 2007
17120,Manufacture of paper and paperboard,C,Manufacturing,SIC 2007
17211,"Manufacture of corrugated paper and paperboard, sacks and bags",C,Manufacturing,SIC 2007
17219,Manufacture of other paper and paperboard containers,C,Manufacturing,SIC 2007
17220,Manufacture of household and sanitary goods and of toilet requisites,C,Manufacturing,SIC 2007
17230,Manufacture of paper stationery,C,Manufacturing,SIC 2007
17240,Manufacture of wallpaper,C,Manufacturing,SIC 2007
17290,Manufacture of other articles of paper and paperboard n.e.c.,C,Manufacturing,SIC 2007
18110,Printing of newspapers,C,Manufacturing,SIC 2007
18121,Manufacture of printed labels,C,Manufacturing,SIC 2007
18129,Printing n.e.c.,C,Manufacturing,SIC 2007
18130,Pre-press and pre-media services,C,Manufacturing,SIC 2007
18140,Binding and related services,C,Manufacturing,SIC 2007
18201,Reproduction of sound recording,C,Manufacturing,SIC 2007
18202,Reproduction of video recording,C,Manufacturing,SIC 2007
18203,Reproduction of computer media,C,Manufacturing,SIC 2007
19100,Manufacture of coke oven products,C,Manufacturing,SIC 2007
19201,Mineral oil refining,C,Manufacturing,SIC 2007
19209,Other treatment of petroleum products (excluding petrochemicals manufacture),C,Manufacturing,SIC 2007
20110,Manufacture of industrial gases,C,Manufacturing,SIC 2007
20120,Manufacture of dyes and pigments,C,Manufacturing,SIC 2007
20130,Manufacture of other inorganic basic chemicals,C,Manufacturing,SIC 2007
20140,Manufacture of other organic basic chemicals,C,Manufacturing,SIC 2007
20150,Manufacture of fertilizers and nitrogen compounds,C,Manufacturing,SIC 2007
