administrative_area_level_1,tag,features,url_shape,url
England,borough,Bedford,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.bedford.gov.uk/
England,borough,Central Bedfordshire,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.centralbedfordshire.gov.uk/
England,borough,Luton,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://m.luton.gov.uk/
England,county,Luton|Central Bedfordshire |Bedford,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,
England,borough,Bracknell Forest,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.bracknell-forest.gov.uk/
England,borough,Reading,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.reading.gov.uk/
England,borough,Slough,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.slough.gov.uk/
England,borough,West Berkshire,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.westberks.gov.uk/
England,borough,Windsor and Maidenhead,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.rbwm.gov.uk/
England,borough,Wokingham,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.wokingham.gov.uk/
England,county,Bracknell Forest|Reading|Slough|West Berkshire|Windsor and Maidenhead|Wokingham,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,
England,city,,https://github.com/njh/radiodns-uk/tree/master/counties/bristol.json,https://www.bristol.gov.uk/
England,county,Buckinghamshire,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.buckinghamshire.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000008,https://www.cambridge.gov.uk/
England,district,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000009,https://www.eastcambs.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000010,https://www.fenland.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000011,https://www.huntingdonshire.gov.uk/
England,district,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000012,https://www.scambs.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/cambridgeshire.json,https://www.cambridgeshire.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/cheshire.json,https://www.cheshirewestandchester.gov.uk/home.aspx
England,city,City of London,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.cityoflondon.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/cornwall.json,https://www.cornwall.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000026,https://www.allerdale.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000027,https://barrowbc.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000028,https://www.carlisle.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000029,https://www.copeland.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000030,https://www.eden.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000031,https://www.southlakeland.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/cumbria.json,https://www.cumbria.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000032,https://www.ambervalley.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000033,https://www.bolsover.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000034,https://www.chesterfield.gov.uk/
England,district,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000035,https://www.derbyshiredales.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000193,https://www.eaststaffsbc.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000036,https://www.erewash.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000037,https://www.highpeak.gov.uk/
England,district,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000038,https://www.ne-derbyshire.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000039,https://www.southderbyshire.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/derbyshire.json,https://www.derbyshiredales.gov.uk/
England,district,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000040,https://eastdevon.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000041,https://exeter.gov.uk/
England,district,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000042,https://www.middevon.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000043,https://www.northdevon.gov.uk/
England,district,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000044,https://www.southhams.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000045,https://www.teignbridge.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000046,https://www.torridge.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000047,https://www.westdevon.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/devon.json,https://www.devon.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/dorset.json,https://www.dorsetcouncil.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/durham.json,https://durham.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/east-riding-of-yorkshire.json,https://www.eastriding.gov.uk/
England,county,East Sussex|Brighton and Hove,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.eastsussex.gov.uk/
England,county,Essex|Southend-on-Sea|Thurrock,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.essex.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000078,https://www.cheltenham.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000079,https://www.cotswold.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000080,https://www.fdean.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000081,https://gloucester.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000082,https://www.stroud.gov.uk/
England,borough,,https://statistics.data.gov.uk/geometry?resource=https://statistics.data.gov.uk/id/statistical-geography/E07000083,https://www.tewkesbury.gov.uk/
England,county,,https://github.com/njh/radiodns-uk/tree/master/counties/gloucestershire.json,https://www.gloucestershire.gov.uk/
England,borough,Barnet,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.barnet.gov.uk/
England,borough,Bexley,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.bexley.gov.uk/
England,borough,Bromley,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.bromley.gov.uk/
England,borough,Camden,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.camden.gov.uk/
England,borough,Croydon,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.croydon.gov.uk/
England,borough,Ealing,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.ealing.gov.uk/
England,borough,Enfield,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.enfield.gov.uk/
England,borough,Greenwich,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.royalgreenwich.gov.uk/
England,borough,Hackney,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://hackney.gov.uk/
England,borough,Haringey,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.haringey.gov.uk/
England,borough,Harrow,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.harrow.gov.uk/
England,borough,Hillingdon,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.hillingdon.gov.uk/
England,borough,Hounslow,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.hounslow.gov.uk/
England,borough,Islington,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.islington.gov.uk/
England,borough,Kingston upon Thames,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://www.kingston.gov.uk/
England,borough,Lambeth,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://beta.lambeth.gov.uk/
England,borough,Lewisham,https://geoportal1-ons.opendata.arcgis.com/datasets/687f346f5023410ba86615655ff33ca9_0.geojson,https://lewisham.gov.uk/
